file_name,total_hours,hypoxia_hours,hypoxia_fraction,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
10133650,123048,0,0,40.7238375,-111.5196438,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
10133800,142080,0,0,40.75966979,-111.5640912,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
10133980,141840,0,0,40.8695861,-111.5866222,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1021050,37296,0,0,45.17,-67.2966667,3,Urban,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
1108000,9072,0,0,41.9339903,-70.9564307,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1108410,7488,0,0,41.8998232,-71.0894897,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
11126000,126288,0,0,34.58914745,-119.9887195,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11152850,2664,0,0,37.08669444,-121.2875556,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11152890,4008,0,0,37.03480556,-121.3100556,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11173200,16776,0,0,37.46160337,-121.769397,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1124149,3792,0,0,41.94747969,-71.9017145,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11337190,17064,0,0,38.0521424,-121.6888428,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11447650,93456,0,0,38.45566389,-121.5016167,2,Cropland,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
11447890,96144,0,0,38.25769218,-121.5182865,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11453590,312,0,0,38.6469722,-122.365825,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
11455095,44352,0,0,38.47686944,-121.5836417,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11455136,35976,0,0,38.40444444,-121.6145556,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11455338,24624,0,0,38.23739167,-121.6739556,5,Other,2,Cropland,0,0.75,0.25,0,0,0.75,TRUE,Ag-dominated
11455478,5760,0,0,38.093252,-121.7371772,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11455485,30024,0,0,38.0778083,-121.767286,5,Other,2,Cropland,0,0.5,0.25,0,0.25,0.5,TRUE,Ag-dominated
11461500,42504,0,0,39.24652277,-123.1302509,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11462500,138288,0,0,39.0265265,-123.1305253,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
11463000,57120,0,0,38.87930758,-123.0535767,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11463682,70176,0,0,38.65820245,-122.8294009,1,Natural vegetation,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11463980,140256,0,0,38.6329653,-122.8555494,1,Natural vegetation,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
11465240,48264,0,0,38.65324355,-122.9272191,2,Cropland,1,Natural vegetation,0,0.25,0,0,0.75,0.25,FALSE,Natural-dominated
