hour,DO_mean,DO_sd,WT_mean,n
0,8.89558511859274,3.611201561211073,15.565177165803924,94647
1,8.865555218932665,3.617906616256854,15.502411889709972,94646
2,8.837076002469038,3.6218588731389443,15.440838819837202,94645
3,8.80904041648143,3.6287472866937907,15.38045332508795,94645
4,8.783860079863334,3.636327478840383,15.320279563943496,94647
5,8.759590771883936,3.6431239077676607,15.262448171592396,94646
6,8.742153157052575,3.647102416359691,15.21536361114509,94645
7,8.739946845223411,3.6454085140605845,15.191929786592576,94646
8,8.766016940029902,3.6372121032479545,15.21083076141398,94647
9,8.82269488665726,3.634496999426899,15.28214516539185,94646
10,8.896590465691837,3.633964735444545,15.4071585448418,94645
11,8.974872690571514,3.6312054558172218,15.569440387054211,94631
12,9.052807239568319,3.6274920712582266,15.745861356149481,94614
13,9.118093780668827,3.6242973275508126,15.911153438069759,94612
14,9.167546218760428,3.6211745905151136,16.03527868194132,94615
15,9.194765156791545,3.6208451449625603,16.098302927475213,94625
16,9.193625343977935,3.6225568058573594,16.096991626761017,94634
17,9.165489709317866,3.621410146802493,16.04863844746922,94644
18,9.120287177150836,3.6214952291924964,15.976396858910308,94646
19,9.071925828808945,3.622868679118652,15.902198987225658,94648
20,9.027480849892347,3.6231472762668866,15.830203709133148,94647
21,8.985497029544634,3.6224377270353925,15.761631441855421,94647
22,8.948684848668583,3.620346156615755,15.694687173387246,94648
23,8.916045745225647,3.6204561284216448,15.628486873048178,94648
