hour,DO_mean,DO_sd,avg_temp_mean,n
0,9.539224805,3.309983224,9.36521095,75288
1,9.536654303,3.312147345,9.268646532,75288
2,9.536398192,3.314271108,9.178292539,75288
3,9.536781876,3.316210316,9.093373573,75288
4,9.538786036,3.318536072,9.015391469,75288
5,9.550590685,3.321390364,8.958167897,75288
6,9.578237929,3.325290618,8.95190877,75288
7,9.623134969,3.332302258,9.02091328,75288
8,9.683589895,3.348688527,9.166045249,75288
9,9.748774437,3.371634052,9.385459339,75288
10,9.808515656,3.394475236,9.651427461,75288
11,9.851616051,3.415618804,9.929992346,75288
12,9.877166345,3.435465131,10.18054821,75288
13,9.886237115,3.447217012,10.36467986,75288
14,9.881500412,3.45086299,10.4663115,75288
15,9.859233304,3.444881068,10.48229304,75288
16,9.817298656,3.42774213,10.42360837,75288
17,9.760239901,3.40274263,10.30843253,75288
18,9.695501761,3.376460239,10.15722932,75288
19,9.636893975,3.3522363,9.994651731,75288
20,9.593992319,3.335417295,9.840917793,75288
21,9.565712223,3.326133213,9.70387513,75288
22,9.550444915,3.319301877,9.580347304,75288
23,9.542302934,3.316429909,9.470435609,75288
