hour,DO_mean,DO_sd,n
0,9.575986758,2.278222294,369417
1,9.56170696,2.282649408,369417
2,9.54298963,2.292663652,369417
3,9.526881546,2.303498002,369417
4,9.517716023,2.310068903,369417
5,9.510288373,2.318072515,369417
6,9.51726802,2.317292785,369417
7,9.556903716,2.305256069,369417
8,9.642615527,2.293357907,369417
9,9.750605955,2.308668892,369417
10,9.836327781,2.356911703,369417
11,9.918292878,2.376433186,369417
12,9.988860285,2.375820575,369417
13,10.02995829,2.380652319,369417
14,10.05106966,2.379222374,369417
15,10.05720311,2.361756794,369417
16,10.03738079,2.329405419,369417
17,9.980416711,2.295978183,369417
18,9.900744146,2.262050241,369417
19,9.81586202,2.247750512,369417
20,9.743175057,2.248426285,369417
21,9.683921151,2.256661159,369417
22,9.64020443,2.262230342,369417
23,9.602907284,2.271184256,369417
