hour,DO_mean,DO_sd,WT_mean,n
0,8.824531029342166,2.4442338846455565,15.634327699927514,1601319
1,8.780448001158017,2.4587292543353465,15.515317826572396,1601319
2,8.745186476912647,2.4727134683160337,15.39917196091,1601319
3,8.71752115862686,2.4860825805205566,15.285622537914298,1601319
4,8.696304298347902,2.4986241420986257,15.17474467618878,1601319
5,8.680438101428415,2.510696451930872,15.066661889155803,1601319
6,8.672451123267132,2.5212654010622773,14.963522175400293,1601319
7,8.686708970371512,2.525102284599438,14.874799548248523,1601319
8,8.756217161418585,2.519284872065066,14.830843434623707,1601319
9,8.890969698889664,2.5097674597334807,14.87094052815934,1601319
10,9.064408150397707,2.5059559951648063,15.013578644773947,1601319
11,9.244434864217078,2.5124574190093285,15.247426719632331,1601319
12,9.406548182974849,2.5272978199028153,15.538471205097876,1601319
13,9.535821301823702,2.5452129214733037,15.840616448398785,1601319
14,9.622818715880753,2.5603097802210257,16.10750798377955,1601319
15,9.66111448664653,2.5633004188302393,16.301053022218177,1601319
16,9.643833313273998,2.5462529404035763,16.401691798830818,1601319
17,9.568435968070014,2.507547406984642,16.413015583479353,1601319
18,9.44757775656791,2.4602608328685007,16.35379812578295,1601319
19,9.300597284740185,2.418999042640727,16.251056618454662,1601319
20,9.155748119685716,2.4045579900420697,16.12990292965584,1601319
21,9.041994260667561,2.4058290452834687,16.008383093014636,1601319
22,8.9498484072261,2.4165001574238127,15.881238489237122,1601319
23,8.878391993931498,2.4306285056000587,15.75644259630713,1601319
