file_name,median_hours,n_events,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
10129900,5,168,40.73522634,-111.4760313,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
10133650,NA,0,40.7238375,-111.5196438,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
10133800,NA,0,40.75966979,-111.5640912,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
10133980,NA,0,40.8695861,-111.5866222,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1021050,NA,0,45.17,-67.2966667,3,Urban,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
1043110325021_,13,4,43.7631,142.275,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1043110332180_,2,14,42.8325,141.6597,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1043110332210_,5,176,43.0378,141.355,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
11044000,2,11,33.4739175,-117.1422536,1,Natural vegetation,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
1104430,3,1,42.3981512,-71.2733903,3,Urban,5,Other,0,0,1,0,0,0,FALSE,Mixed
1108000,NA,0,41.9339903,-70.9564307,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1108410,NA,0,41.8998232,-71.0894897,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
11092450,3,25,34.16167247,-118.466749,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
11126000,NA,0,34.58914745,-119.9887195,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11126400,2.5,22,34.5901111,-120.025361,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11128500,6,331,34.58498706,-120.1445926,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
11152850,NA,0,37.08669444,-121.2875556,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11152880,4,5,37.04368056,-121.2759028,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11152890,NA,0,37.03480556,-121.3100556,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11152900,5,8,37.0499451,-121.327431,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11153000,4,2,36.98,-121.3802778,2,Cropland,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11173200,NA,0,37.46160337,-121.769397,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1124149,NA,0,41.94747969,-71.9017145,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11273400,6,24,37.3472151,-120.9761777,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
11337190,NA,0,38.0521424,-121.6888428,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11447650,NA,0,38.45566389,-121.5016167,2,Cropland,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
11447890,NA,0,38.25769218,-121.5182865,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11453590,NA,0,38.6469722,-122.365825,1,Natural vegetation,1,Natural vegetation,0,0,0.25,0,0.75,0,FALSE,Natural-dominated
11455095,NA,0,38.47686944,-121.5836417,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11455136,NA,0,38.40444444,-121.6145556,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11455338,NA,0,38.23739167,-121.6739556,5,Other,2,Cropland,0,0.75,0.25,0,0,0.75,TRUE,Ag-dominated
11455478,NA,0,38.093252,-121.7371772,5,Other,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
11455485,NA,0,38.0778083,-121.767286,5,Other,2,Cropland,0,0.5,0.25,0,0.25,0.5,TRUE,Ag-dominated
11461500,NA,0,39.24652277,-123.1302509,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11462500,NA,0,39.0265265,-123.1305253,1,Natural vegetation,1,Natural vegetation,0,0.5,0,0,0.5,0.5,TRUE,Ag-dominated
