file_name,total_days,days_with_DO_below_3,n_events,days_11am_DO_below_3,per,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_urban_2km,p_crop_2km,p_other_2km,p_wetland_2km,p_natural_2km,human_share,human_impacted,landuse_group
10129900,5719,159,2.78020633,0,100,40.73522634,-111.4760313,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1043110325021_,4211,9,0.213725956,7,22.22222222,43.7631,142.275,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1043110332180_,1535,11,0.716612378,3,72.72727273,42.8325,141.6597,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1043110332210_,2754,162,5.882352941,112,30.86419753,43.0378,141.355,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
11044000,4425,11,0.248587571,1,90.90909091,33.4739175,-117.1422536,1,Natural vegetation,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
1104430,51,1,1.960784314,0,100,42.3981512,-71.2733903,3,Urban,5,Other,0,0,1,0,0,0,FALSE,Mixed
11092450,441,20,4.535147392,0,100,34.16167247,-118.466749,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
11126400,4867,26,0.534209986,12,53.84615385,34.5901111,-120.025361,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11128500,3748,298,7.95090715,6,97.98657718,34.58498706,-120.1445926,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
11152880,89,4,4.494382022,0,100,37.04368056,-121.2759028,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11152900,223,9,4.035874439,0,100,37.0499451,-121.327431,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11153000,195,2,1.025641026,0,100,36.98,-121.3802778,2,Cropland,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
11273400,5066,21,0.414528227,13,38.0952381,37.3472151,-120.9761777,2,Cropland,2,Cropland,0.25,0.75,0,0,0,1,TRUE,Ag-dominated
11509370,1861,303,16.28156905,169,44.22442244,42.12788298,-121.9288769,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1191000,2916,31,1.063100137,0,100,41.78443889,-72.7080556,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
12507573,475,2,0.421052632,0,100,46.2852222,-120.0919944,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1302020,1158,7,0.604490501,2,71.42857143,40.86230556,-73.87438889,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
135749950,1327,4,0.301431801,1,75,42.78569444,-73.7104167,3,Urban,1,Natural vegetation,0.5,0,0,0,0.5,0.5,TRUE,Urban-dominated
1363121256010_,2199,15,0.68212824,3,80,38.7736,139.8489,2,Cropland,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1402000,529,8,1.512287335,2,75,40.475,-74.5758333,2,Cropland,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
14078260,181,3,1.657458564,0,100,44.062,-120.0433056,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14151000,1347,1,0.07423905,0,100,43.94429299,-122.774794,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
14202650,2232,374,16.7562724,277,25.93582888,45.44064167,-123.125,2,Cropland,2,Cropland,0,0.75,0,0,0.25,0.75,TRUE,Ag-dominated
14206950,2825,16,0.566371681,9,43.75,45.403452,-122.7548185,3,Urban,3,Urban,0.75,0,0,0,0.25,0.75,TRUE,Urban-dominated
1465798,92,1,1.086956522,0,100,40.0569557,-74.9851603,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1467087,89,7,7.865168539,2,71.42857143,40.0159454,-75.0968411,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1473900,699,8,1.144492132,2,75,40.1239987,-75.2198992,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1475548,1637,22,1.343921808,3,86.36363636,39.9327861,-75.2376361,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1477050,4259,3,0.07043907,0,100,39.83677934,-75.36630199,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
1484272,2786,313,11.23474515,81,74.12140575,38.791,-75.25077778,1,Natural vegetation,2,Cropland,0,0.5,0,0.25,0.25,0.5,TRUE,Ag-dominated
1484525,4819,47,0.97530608,12,74.46808511,38.59455556,-75.29102778,3,Urban,1,Natural vegetation,0,0,0.5,0,0.5,0,FALSE,Natural-dominated
1552046,291,27,9.278350515,20,25.92592593,53.77701,-1.505282,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
1552048,298,141,47.31543624,111,21.27659574,53.75148,-1.42369,3,Urban,2,Cropland,0,1,0,0,0,1,TRUE,Ag-dominated
1574000,1728,3,0.173611111,0,100,40.0809008,-76.7180813,2,Cropland,2,Cropland,0,0.75,0.25,0,0,0.75,TRUE,Ag-dominated
1584376,647,84,12.98299845,68,19.04761905,53.99151,-1.13211,2,Cropland,2,Cropland,0.5,0.5,0,0,0,1,TRUE,Urban-dominated
1611500,4045,1,0.024721879,1,0,39.5823158,-78.3097312,1,Natural vegetation,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
164579522,1255,3,0.239043825,2,33.33333333,38.9256,-77.32933889,3,Urban,1,Natural vegetation,0,0,0,0,1,0,FALSE,Natural-dominated
1646000,4159,2,0.048088483,0,100,38.97594346,-77.24581439,1,Natural vegetation,1,Natural vegetation,0.25,0,0,0,0.75,0.25,FALSE,Natural-dominated
1649500,5888,23,0.390625,6,73.91304348,38.96025,-76.9259722,3,Urban,3,Urban,1,0,0,0,0,1,TRUE,Urban-dominated
