gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
Viz®¶zy amont Bullieux,5.714285714,126.6,2,360,68,88,781,96,0,32,48,16,171.496,850,930,6.176875,17.13,16.86363834,20.095,0.277867883,0.116079954,12.24736111,13.80298611,15.025,20.89
11273400,18.1,27801.5,5,21,73,132,452,40,5,43,29,2,47.428,396,951,7.3,18.525,18.49245326,23.925,35.26682281,14.71203709,11.98111111,13.69722222,18.28,26.5
1363121256010_,2.466666667,711.5,4,6,156,91,1922,229,0,70,12,5,106.043,332,892,9.7,11.5,11.84476467,18.1,40.71663666,24.60818291,12.48055556,14.20569444,10.96,17.82
14202650,7.5,187.6,3,73,91,96,1772,197,0,67,15,0,18.116,248,928,5.1,13.25,13.01557102,17.38125,0.6746701,0.392317355,11.91305556,14.54972222,10.36,17.39
1484272,6.067567568,129.9,2,6,6,128,1098,102,38,62,54,0,52.343,997,946,5.175,16.9,16.65199958,24.325,1.475438416,0.337308966,12.21986111,14.00256944,14.385,21.5925
1552048,17.12056738,881.7,4,33,41,87,988,159,0,0,18,47,1231.753,3415,890,1.622907794,10.8,11.0625,15.9,9.667287827,5.072615862,10.38319444,15.86388889,5.225,14.51
2122520,18.91780822,13.1,1,681,26,130,1030,90,0,24,2,38,307.58,459,954,1.69575,18.95,18.89666175,21.49375,0.171955869,0.088520423,13.78166667,14.26527778,22.16,26.95
2122711,17.8801956,1359.4,4,681,33,123,751,63,0,9,5,2,17.88,211,954,2.832,8.863,12.80472866,20.124,0.504171133,0.152419701,10.85527778,12.95888889,12.85,18.9
212274,19,38.4,1,682,46,131,1583,145,0,67,0,0,6.424,195,954,10.23475,11.161,11.10311259,11.7,1.225369096,1.00398165,10.14361111,11.24395833,10.34,11.9775
215220,18.16666667,447.6,3,230,94,145,1594,143,0,96,0,0,7.228,170,954,10.624,10.6,10.98050303,12.286,2.661275864,0.903979957,10.21222222,10.76902778,11.16,13.365
224203,12,3902,5,80,168,102,1122,110,0,99,0,0,0.144,45,952,10.73375,11.6,12.28871528,13.5,11.47567177,9.564359188,11.57472222,12.009375,14.085,18.345
225212,1,1365.6,4,34,129,107,1402,137,0,87,0,0,2.188,141,952,10.257,9.1,9.925507479,9.9,8.563984871,5.099052668,9.918888889,10.76534722,8.06,10.8375
225236,18,1146.4,4,198,146,102,1503,148,0,96,0,0,0.578,123,952,1.993,19.8,19.75416667,20.3,6.914455414,6.276263237,14.22138889,14.28055556,18.82,30.5
225256,14.23076923,17.3,1,28,4,138,633,55,0,8,2,0,29.556,265,952,10.26875,11.4,12.66820313,13.5,10.2217741,7.14524579,10.94347222,12.10847222,10.89,14.8275
226415,15.5,153.9,2,131,106,119,1048,104,0,92,0,0,7.255,350,952,3.12,13.4,15.83134058,21.125,0.818668276,0.6297566,12.30486111,14.10666667,13.035,21.4725
227264,22.14583333,90.8,2,86,53,131,1070,104,0,8,0,0,46.659,333,952,1.428,15.8,15.7187578,18.2,0.016791446,0.004022485,13.31083333,14.58875,16.8,25.06
227270,22.37905237,16.3,1,195,51,129,1129,111,0,10,2,0,113.034,278,952,1.102,15.9,15.70541822,17.6,0.011611338,0.003161816,13.51694444,14.465625,21.3,26.64
227273,23.92920354,503.6,3,5,34,136,1020,101,0,5,1,2,24.482,303,952,0.393,21.7,21.41094577,23.6,0.18021179,0.024634665,14.00291667,14.63326389,22.45,27.1875
230220,17.58888889,324.9,2,294,40,123,857,80,0,61,5,4,60.411,536,952,2.57675,17.5,16.49899907,19.2,0.043870017,0.011423528,12.21277778,13.91069444,16.1,23.07
232242,21.5,736.7,3,311,25,119,831,79,0,39,5,0,6.732,260,952,10.40475,11.4,11.56325967,12.7,0.857216418,0.302439012,11.73444444,12.23048611,12.045,16.7375
23432415,7.629357798,19407.3,5,68,25,166,1354,99,0,79,7,14,148.441,1420,921,5.25,21.025,20.65052364,27.06666667,231.0661316,145.559227,12.03472222,13.48819444,17.17,22.58
2357150,20.125,1527.8,4,39,6,192,1350,90,7,11,59,0,10.232,230,921,6.5,21.45,20.75409119,23.95,8.672465324,4.474381924,12.27916667,13.65027778,17.15,21.96
29040,22.34883721,1939.2,4,7,32,89,732,118,0,2,53,2,51.148,446,918,9.219014904,9.7,9.67678696,14.15,13.02196312,7.02941072,11.23416667,14.52451389,6.68,12.9925
29041,14.7,1974.1,5,9,43,88,959,153,0,0,22,48,1041.222,3206,929,5.864488766,9.9,10.85513255,15.25,28.22689819,12.98152113,10.96333333,14.53583333,6.22,12.97
29043,18.83870968,8114.4,5,12,24,92,749,114,0,1,39,27,691.911,2378,895,7.627703233,11,11.32558233,15.85,55.38407516,33.0585146,11.21472222,14.87166667,6.73,13.48
3219500,7.076923077,1662,3,278,4,98,922,89,0,1,76,2,44.359,575,925,6,18.85,17.32405115,22.7,5.835819006,2.152095199,13.39458333,14.57,16.79,22.66
3284533,9.833333333,52.1,2,296,13,126,1172,103,0,6,32,49,619.71,4054,814,5.6,12.1375,14.74804706,22.675,0.122467726,7.36E-04,11.895,13.65222222,16.1,22.08
3289200,3.4,96.2,2,273,13,126,1152,101,0,5,26,65,934.619,5137,814,6.725,18.8,17.8092559,22.275,0.500056982,0.157233894,12.33972222,13.93555556,13.93,21.14
3292470,10,177.3,2,210,22,124,1160,100,0,17,33,4,85.347,879,820,7.625,14.225,14.36570441,22.4,0.876748532,0.196776036,11.83388889,13.72895833,13.32,20.095
3321500,10.22222222,23713,6,116,26,135,1277,105,5,36,43,1,27.545,378,821,6.625,16.925,17.17168672,25.2,185.3710022,105.2861595,12.13652778,13.85368056,14.34,21.3075
3353415,6,28.2,1,271,2,107,1028,96,0,47,39,30,318.653,3639,921,6.05,12.525,12.88547439,19.775,0.943044841,0.204453163,12.56166667,14.22388889,14.78,21.25
401011281104040_,9.827586207,2912.2,5,104,95,46,1216,178,1,84,3,1,22.362,147,897,9.7,7.4,9.098100835,16.5,73.0447998,43.81476212,12.26666667,14.52111111,10.16,16.21
401061281105020_,6.909090909,1230,4,8,120,57,1293,179,0,95,3,0,8.528,165,897,9.7,9.2,9.83600075,17.3,26.92367172,17.98624706,12.22652778,14.30402778,10.675,16.7875
401081281107090_,1,8243.7,6,12,90,46,1340,191,0,62,19,2,38.473,166,897,9.3,8.8,9.101067,15.4,150.4498444,104.3165436,12.13694444,14.31861111,11.1,17.08
402011282206020_,1.442857143,4148.3,5,156,79,107,1355,149,0,61,17,14,255.02,985,895,8.7,14.2,14.15159079,21.2,65.30478287,47.69096756,12.35944444,13.98805556,11.795,17.5075
402011282228040_,3.071428571,199.8,3,412,75,102,1394,159,0,54,11,6,91.92,693,895,9.1,13,12.83719642,18.9,2.956929684,1.936480045,12.51722222,13.98277778,12.43,18.7
402011282228070_,1,4.6,1,391,58,110,1310,142,0,0,20,0,309.755,396,895,8.8,12.9,13.22201521,19.8,2.956929684,1.940077305,12.34638889,13.93708333,12.23,18.505
402041282204010_,2,1076.9,5,225,86,75,1469,185,0,86,4,3,121.675,457,889,10,10.5,10.94762713,16.4,23.78829098,14.68111444,12.20777778,14.10048611,11.14,16.69
402041282204110_,4.278688525,7098.5,5,118,98,85,1450,175,0,60,11,7,122.872,464,889,9.2,12.6,12.62395629,19,187.0564575,124.9507675,12.11722222,14.01083333,11.81,17.78
402041282207090_,6.25,10016.4,5,4,89,90,1415,170,0,56,13,7,125.696,519,895,8.6,13,13.088774,20.1,47.56441116,31.96204424,12.16055556,14.01256944,11.55,17.28
402041282220220_,17,1076.9,5,225,86,75,1469,185,0,86,4,3,121.675,457,889,11.2,6.6,7.738811007,10.8,20.98626137,11.46877027,11.14263889,13.09333333,10.185,14.9775
402051282201010_,17.64516129,1873.1,4,89,103,82,1379,171,0,85,3,3,57.885,495,878,9.2,11.7,11.72001415,18.4,40.35551643,28.08848667,12.43847222,14.26284722,10.81,16.8225
402071282201010_,3.1,19.2,1,285,128,93,1427,177,0,75,1,6,348.188,264,878,9.1,12.9,12.24073195,18.5,18.35852814,10.82577848,13.18611111,14.5475,12.06,18.875
402091282209020_,2.818181818,4026.2,5,23,110,92,1669,198,0,71,10,4,85.59,419,885,9.2,13.4,13.10224509,19.8,177.3401794,115.0380363,12.45569444,14.21902778,10.74,16.79
402101282209020_,1,863.6,4,12,103,96,1835,217,0,86,4,0,71.897,440,885,9.3,11.9,12.14047483,18.7,48.27568817,30.42672348,12.32694444,14.15055556,10.6,16.89
402111282214070_,3.2,3516.1,5,84,123,96,1596,182,0,68,9,11,192.352,421,892,9.2,9.8,11.27569781,18,130.541008,85.00365448,12.19444444,13.93770833,10.73,16.25
403021283322090_,4.512195122,2496.5,5,34,77,113,1528,164,0,52,33,9,158.276,2602,896,8.4,15.5,15.07717359,20.7,40.02291679,25.45155811,12.17777778,13.83256944,12.82,18.5625
403031283302091_,12.16666667,37.2,2,11,24,145,1471,157,0,14,50,20,376.008,3516,893,11,6.6,7.129471545,9.125,0.625600338,0.35631822,10.68277778,11.92513889,11.795,14.1575
403031283303100_,1.166666667,1459.4,4,3,27,138,1349,134,11,17,35,36,477.513,3822,896,7.8,17.4,16.77715371,23.6,24.22872162,16.46840477,12.11833333,13.83916667,12.19,18.38
403031283307130_,6.5,602.6,4,25,18,135,1386,135,0,18,49,41,410.78,4006,896,7.4,17.2,16.53920889,22.1,8.015565872,4.606760383,12.23652778,13.87986111,12.085,17.5375
404021284415300_,13.85897436,958,4,181,154,86,1636,194,0,92,4,3,66.956,494,895,8.3,12.8,12.64665431,18.7,25.50749683,17.47698784,12.15805556,13.89951389,10.83,17.3875
405091285502120_,1.875,1989.7,4,4,139,124,2203,227,0,77,1,21,385.408,2201,897,8,16.4,16.24040095,21.5,73.5357666,46.68394089,12.17027778,13.77583333,12.29,18.695
405091285502200_,2.333333333,1649.1,5,1,175,120,2127,234,0,79,2,17,227.159,2253,897,6.4,18,17.31615792,22.7,66.45882797,40.45900822,12.31958333,13.85270833,12.445,18.58
406041286603500_,5.743589744,438,4,84,168,118,2111,237,3,80,2,14,216.649,1527,913,7.6,15,14.71796149,20.7,6.893743277,4.39868629,11.55055556,13.326875,11.55,17.55
4085108,14.42857143,154.7,2,211,11,68,754,86,38,11,43,11,134.728,1526,945,5.675,11.3,10.78803019,18.175,0.410848409,0.101715984,12.00569444,14.38090278,11.865,19.7425
409005,21.14285714,57159.4,6,81,68,130,885,77,2,48,7,0,7.333,169,954,10.575,11.088,12.15097759,13.563,165.6317902,109.5430164,10.09916667,10.71104167,10.515,12.8175
409014,21.59722222,23348.9,5,70,5,161,479,35,4,2,14,0,1.061,164,954,10.474,11,12.30008851,12.975,9.440722466,3.966181636,10.22027778,10.97722222,10.7,13.715
409025,23.703125,26129.1,6,130,101,120,1041,93,0,70,2,0,6.747,139,953,10.13575,11.413,11.93312229,13.131,167.4511871,124.2050571,10.30277778,11.18048611,9.935,13.9625
409036,22.41176471,317.5,2,69,1,164,365,26,1,0,29,0,0.393,113,954,10.563,10.975,11.86593085,12.4,0.100941688,0.047848332,10.14486111,10.64902778,10.4,12.29
409044,20.55813953,192.8,1,75,1,162,385,28,63,3,12,0,1.39,154,954,10.414,10.488,11.82549206,11.9,0.015528224,0.007206452,10.10166667,10.75347222,10.46,12.9525
409048,21.89830508,183.5,1,75,0,164,387,28,100,0,19,0,0.193,147,954,10.38,10.538,11.55943534,11.7,0.053412069,0.016702788,10.17333333,10.82388889,10.5,13.08
409062,23.47368421,3254.1,4,72,0,160,407,30,28,4,18,0,0.329,157,954,10.21,10.8,12.63831935,12.863,0.414197698,0.228562236,10.37027778,11.15131944,11.015,15.0675
409086,23.55555556,1048.3,4,69,0,164,381,27,73,1,21,0,0.331,146,954,10.365,10.913,12.44490838,12.863,0.101903975,0.044501878,10.1975,10.84791667,10.72,13.505
410130,23.13402062,120042.5,7,64,27,152,611,47,3,15,21,0,5.71,160,954,10.234,11.1,13.11904556,14.04425,99.93824005,63.05638218,10.25666667,11.05680556,11.365,14.81
412011,15.09090909,44011.2,6,162,26,153,644,48,0,10,28,0,2.03,178,954,2.623,12.394,16.56421375,24.416,6.09E-04,6.08E-04,14.34611111,14.34805556,30.44,31.89
4183038,8.222222222,26.3,1,237,4,95,878,85,0,0,81,0,29.41,298,921,6.85,11.2,11.89935872,20.075,0.061298497,0.001635843,11.74527778,14.01305556,12.16,19.46
4188496,10.28571429,122,1,262,5,98,896,89,0,3,66,3,52.887,689,925,5.375,14.225,13.48087649,21.4,0.366342604,0.03040994,12.13583333,14.03722222,13.25,20.26
5057000,22.38333333,7033.9,4,423,8,42,447,50,38,0,64,0,1.094,80,929,7.225,8.8,10.27998869,20.2,2.557525516,0.51663211,12.23930556,14.75027778,12.87,20.71
5114000,3.666666667,21956.1,5,533,4,30,398,48,38,1,70,0,2.159,98,916,6.5,16.475,14.61462138,21.925,6.199075937,3.68403399,13.66347222,15.698125,14.285,23.55
5124000,17.65,42407.1,6,443,5,33,410,48,38,4,70,0,3.291,113,903,2.225,11.85,11.06634513,20.45,24.67609787,11.66330671,14.08833333,15.71194444,17.43,24.38
5435943,4.588235294,51.6,2,302,20,75,823,87,0,6,40,60,817.366,4336,945,7.75,12.2,12.23414116,16.56666667,0.574842036,0.065520154,12.24680556,14.36375,13.21,20.61
5435950,5.8,222.7,3,291,24,75,828,87,0,20,40,18,244.768,1992,945,8.675,11.2,10.91784388,16.6,1.795012355,0.476019807,12.38513889,14.42736111,13.575,20.97
