gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
Charpassonne le T¨¦l,10.4,54.6,1,629,80,92,821,100,0,12,7,0,67.597,1121,930,7.21,12.5925,12.42843102,14.85125,0.178462565,0.010359833,10.43666667,11.58138889,7.13,12.73
10129900,5.588607595,73.7,1,2098,82,53,586,58,0,51,2,3,33.326,590,925,6.8,9.025,9.911812477,15.625,0.118023336,0.060846688,12.25055556,14.18013889,16.58,24.375
1043110325021_,19,3357,5,164,104,38,1300,193,1,64,15,5,104.404,177,897,9.1,7.4,8.895888744,15.5,84.99832153,54.816329,12.44041667,14.50868056,10.58,16.7625
11126400,17.64285714,1298.4,4,284,147,134,625,53,0,88,4,0,0.996,132,951,6.5,16.2,16.28836246,19.225,0.452554435,0.112398222,12.09805556,13.66833333,18.4,23.04
11509370,6.75,9889.1,6,1306,44,59,599,61,11,67,4,0,5.611,105,928,6.75,11.6,12.03158472,19.1125,46.06612778,25.66236496,10.24055556,12.82972222,9.76,18.565
14151000,1,488.2,4,272,156,87,1650,170,0,99,1,0,1.046,10,928,10.675,9.1,10.18025269,12.8,23.14458084,10.93183422,10.25972222,11.81888889,7.95,13.73
1484525,6.129032258,156.4,3,10,6,129,1103,101,38,59,35,5,123.075,901,946,9.05,16.375,16.26098732,23.725,1.77744019,0.564561903,11.91138889,13.88388889,13.59,21.25
1611500,3,1740.1,4,302,88,101,957,89,0,99,10,0,10.058,192,838,8.2,14.75,14.62314097,23.4,10.28403187,4.35299921,12.20861111,14.08208333,13.25,19.885
1646000,2,144.9,2,91,18,125,1020,90,0,66,1,81,842.327,6891,950,8.35,14.05833333,13.89677306,21.075,0.907192647,0.206472419,12.12944444,13.97402778,13.82,21.045
204025,14.22727273,130.7,3,173,123,172,1991,160,0,100,0,0,5.828,47,954,3.53,19.218,19.02912827,21.07525,4.794310808,1.234688669,11.80722222,13.59451389,16.5,20.585
2079500,10.98549107,20446.2,6,89,35,134,1113,91,0,73,16,2,43.375,428,946,5.05,15.6,15.23758021,20.575,206.0226135,118.869545,11.99722222,13.80444444,14.98,21.96
2081094,19.86792453,39.7,2,15,6,158,1261,100,72,85,13,0,25.982,173,918,6.125,18.2,18.11679319,25.75,248.0201569,153.6303253,12.12194444,13.75583333,15.63,21.77
2101726,14.48066298,170.4,2,181,14,146,1168,92,0,74,15,1,38.113,512,918,4.975,17.225,16.7584203,23.825,1.710469127,0.679918051,12.17680556,13.760625,16.15,22.0825
2110400,10.78947368,115.7,2,4,2,169,1278,97,49,64,9,0,26.441,180,866,5.9,19.95,19.34767964,25.575,0.69229269,0.175917946,12.16,13.66361111,16.83,22.95
2110500,16.97794118,2946.1,4,-1,3,167,1280,97,39,62,15,0,24.281,279,865,4.45,19.4,19.06263985,25.6,23.70746803,14.04210615,12.16,13.68361111,16.83,23.01
2110701,13.55532213,98,2,0,1,172,1273,95,38,23,19,2,73.26,812,865,3.45,19.3,18.78488183,25.3,0.183612004,0.041415825,12.25,13.76041667,16.82,22.67
