gauge_id,mean_duration,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
1043110332180_,3.727272727,405.3,3,13,75,61,1238,178,9,76,4,8,168.077,270,897,11.2,5.1,6.130453312,8.6,7.882522106,4.609732151,10.59916667,12.99111111,8.14,13.77
1043110332210_,5.919753086,640.1,4,40,131,48,1379,203,0,85,5,11,1680.004,1171,897,10.2,7,8.352865529,14.2,21.41547203,13.44807839,12.26513889,14.36868056,9.865,16.82
11044000,4,1564,5,342,64,156,440,31,0,38,5,12,181.516,1220,951,7.725,19.8,19.46240835,23.725,0.04204436,8.39E-04,12.23638889,13.7,20.27,25.64
11128500,5.659090909,1516,4,182,137,136,607,51,0,81,5,0,9.626,186,951,5.925,16.83333333,17.11048589,19.6,0.001981255,1.56E-04,11.76944444,13.27277778,17.39,22.08
1191000,6.85,77.1,2,37,25,96,1180,117,38,42,8,54,637.858,4932,955,7.4,13.2,12.62700629,20.275,1.464403272,0.332776487,12.41527778,14.38416667,13.1,21.025
14206950,7,139.7,3,53,34,111,1090,112,0,23,3,100,1647.002,9537,928,7.4,12.8,13.32049201,18.35,0.643027425,0.159717217,12.13694444,14.47777778,11.21,19.66
1475548,1,57.9,2,28,15,121,1125,108,0,0,0,100,4041.175,12545,943,7.1,17.075,16.45575133,22.15416667,0.347169995,0.055953983,12.44638889,14.20333333,15.19,21.7
1552046,20,812,4,47,42,87,1013,163,0,0,18,44,1194.798,3257,890,8.166947074,10.8,10.70162514,15.45,9.24853611,4.344344616,11.06833333,15.83652778,6.29,14.635
1584376,20.07142857,3265,5,16,34,83,844,138,0,0,40,4,91.311,676,929,9.153830531,8.5,9.286550103,13,34.15312576,15.922616,10.42194444,13.55375,5.58,10.74
1649500,3.75,198.3,3,31,18,127,1074,96,38,24,4,76,1183.483,5977,953,8.25,15.16666667,14.9850809,22.61666667,1.843130827,0.319142722,12.20805556,14.02152778,14.435,22.01
1656903,2.5,22.1,1,104,11,126,1008,88,0,53,2,99,1378,6431,950,7.4,15.54166667,15.20231444,21.85,0.531555057,0.018322747,12.30305556,14.04805556,14.27,21.31
2110704,15.7327044,150.4,2,2,1,173,1276,95,39,28,18,6,108.537,863,865,4,20,19.6615105,26.2,31.15523529,18.4125061,12.20611111,13.69180556,16.67,22.665
2122518,22.84615385,734.8,4,660,34,121,774,65,0,5,6,1,14.358,206,954,0.73675,19.7045,20.20979167,21.806,0.277522027,0.026492262,12.89708333,13.80173611,20.805,25.1925
213211,19.75,167.2,2,115,65,163,1347,116,0,94,0,24,374.827,1688,954,3.01025,12.888,15.78491135,20.622,0.489857748,0.109602287,11.15972222,13.51131944,12.385,18.025
2145910,3.735294118,7847.2,5,189,47,141,1250,100,0,62,10,10,128.214,1499,865,6.9,24.35,23.36551232,27.8,115.0335808,84.60828972,13.28111111,14.17027778,19.21,24.4425
2168504,14.66666667,6288.4,5,112,23,159,1267,94,0,70,13,6,83.499,980,865,6.475,14.975,14.5619222,16.6,65.14156342,44.14271164,12.37666667,13.82402778,16.73,22.635
2203603,3.714285714,15.4,1,299,18,160,1285,100,0,15,0,100,984.228,8998,921,7.75,17.23333333,16.88764664,22.325,0.91041714,0.112430479,12.16277778,13.68319444,16.61,22.2
2203655,2,76.6,2,272,20,160,1283,99,0,14,0,97,848.853,8457,921,6.725,17.2,16.81652418,22.825,0.936622053,0.123222094,12.05958333,13.62020833,16.34,21.97
2203950,10.875,43.9,2,286,19,157,1316,102,0,24,0,100,1447.215,8711,921,7.475,17.4,16.93095879,22.45,1.217153728,0.332693532,12.3275,13.73555556,16.835,22.27
2207160,2,77.8,2,255,29,157,1317,102,0,41,0,72,628.486,6478,921,6.5,19.6,19.42270624,26.275,0.707921982,0.057871971,12.05444444,13.64555556,16.66,22.16
2266300,23.17777778,321.5,3,34,7,220,1243,81,35,18,9,27,239.496,2193,892,4.675,24.025,23.07839827,26.5,0.963844121,0.304356389,12.11069444,13.28541667,17.4,21.7075
229143,24,3330.1,4,45,80,128,1167,109,0,78,2,14,233.665,1674,952,10.485,15.8,16.14760947,19.4,12.37435246,6.203516483,12.41861111,13.885,15.77,23.06
230240,21.4021978,16.8,1,297,36,133,681,62,0,3,3,56,880.957,2544,952,1.813,17.6,17.01899977,19.2,0.094682615,0.036098191,12.67875,14.19048611,18.24,24.2925
2304000,21.63715847,1702.2,4,21,7,221,1332,87,37,20,15,25,268.371,2351,892,2.225,24.575,23.11902694,26.8,7.406266212,4.322687149,12.21194444,13.38111111,18.21,22.755
233217,19.81818182,8556.6,5,50,17,131,709,67,0,15,9,1,20.291,218,952,10.433,11.2,12.3333852,13,14.18568611,8.048003674,10.88416667,11.91652778,10.415,14.755
2336120,3.833333333,103.4,2,286,20,155,1335,104,0,14,0,100,1492.534,8619,921,7.15,17.65,17.17574468,23.425,1.57320416,0.436128438,12.16305556,13.68305556,16.48,22.1
2336152,15.95121951,28.9,1,314,15,155,1329,103,0,9,0,100,1285.02,8745,921,6.875,17.2,16.76868631,22.55,1.051186919,0.134713899,12.29833333,13.70201389,16.81,22.2075
2336300,1,232.3,3,276,20,156,1325,103,0,8,0,100,1617.395,9514,921,7.175,17.9,17.49807771,23.925,3.948894739,0.891342103,12.09472222,13.63472222,16.61,22.17
2336313,7.657894737,7.7,1,275,22,159,1313,101,0,0,0,100,551.344,8144,921,6.75,17.45,16.98565532,23.25,4.22758007,1.223575771,12.21416667,13.70847222,16.64,22.19
2336360,3.25,95.3,2,282,23,155,1338,104,0,2,0,93,1065.111,7922,921,7.225,17.575,17.04887464,23.4,1.618476629,0.467338309,12.16611111,13.69736111,16.56,22.13
2336526,4.363636364,40.7,2,264,22,159,1311,101,0,0,0,98,1217.095,8547,921,7.4,17.5,16.98122119,23.275,0.748493016,0.065191695,12.18041667,13.69111111,16.61,22.2325
2336728,6,88,2,254,22,159,1302,100,0,13,0,94,835.134,7287,921,7.625,18.2,17.58216792,23.4,0.951625943,0.111866713,12.19666667,13.71069444,16.77,22.25
2344673,12.15384615,62.9,1,274,16,162,1301,98,0,89,16,65,495.693,2573,921,6.45,20.425,20.08868499,27.425,0.796906292,0.183165222,12.06194444,13.60166667,16.49,22.03
2423571,7.642857143,130,1,236,42,163,1438,107,0,34,2,58,548.508,7528,803,7.45,18.325,17.83609174,23.55,1.592486382,0.659814715,12.43888889,13.78638889,17.06,22.84
29033,20.17647059,494.8,3,76,58,73,1036,177,0,0,17,4,54.295,417,929,9.446844802,10.15,10.28750825,14.85,6.822356224,2.70443368,12.49361111,15.4825,8.35,15.08
29044,9.457831325,959.1,4,23,50,89,977,156,0,0,23,50,905.212,3150,890,5.189481114,10.5,11.09605485,15.55,14.01830053,6.654341936,11.63222222,15.19083333,7.39,14.135
3123499,6,20.7,1,149,8,131,1132,96,0,10,2,100,1899.968,8892,826,6.1,28.175,26.84781212,29.22708333,7.32E-04,3.50E-10,12.74694444,13.5225,18.89,21.79
3287590,12.22727273,12.7,1,304,12,125,1164,103,0,0,37,52,475.305,1794,814,4.7,17.6625,15.53858995,22,0.010135639,4.32E-07,12.10444444,13.735,14.22,21.82
3289193,3.25,27.2,2,281,12,126,1159,102,0,0,2,91,1471.101,7661,814,7.4,15,14.97570292,19.25,0.669681787,0.391319692,12.2475,13.99,13.56,20.97
3292475,3.555555556,29.3,1,188,15,128,1152,98,0,20,3,75,729.251,7182,814,7.75,14.4,14.24333725,20.55,0.226465128,0.010850418,12.20597222,13.98333333,14.03,20.86
3292480,3.5,29.3,1,188,15,128,1152,98,0,20,3,75,729.251,7182,814,7.95,14.4,14.17858711,20.5,0.244314596,0.018519353,12.05611111,13.99972222,13.54,20.91
3292500,10.36683417,33.4,1,168,8,130,1147,97,0,8,2,100,1634.753,8806,814,6.2,16.35,15.87752121,22.725,0.477022827,0.230871432,12.00861111,13.83333333,13.62,20.165
3293000,7.631578947,88.8,2,161,9,129,1152,98,0,8,4,99,1091.036,7709,834,7.3,15.525,15.74071143,21.9,0.370678335,0.110114872,12.12583333,13.86861111,13.66,20.83
3293500,9.005509642,88.8,2,161,9,129,1152,98,0,8,4,99,1091.036,7709,834,5.65,15.25,15.45463928,22.175,0.392977536,0.148339868,12.12055556,13.94763889,13.55,20.865
3293510,15.47936508,88.8,2,161,9,129,1152,98,0,8,4,99,1091.036,7709,834,4.375,14.2,14.55900409,21.2,0.997507453,0.574727923,11.41305556,13.29902778,12.35,19.075
3294570,12.90277778,275.5,3,137,18,132,1149,97,0,23,7,75,841.579,5856,814,6.3,13.65,13.57460867,21.3,0.246157631,0.014661716,12.0625,13.895,13.42,20.84
3298135,5.387755102,43.4,1,208,18,128,1169,99,0,26,10,73,582.853,4853,814,7.725,15.25,15.06435422,21.175,0.305007532,0.059122422,12.0675,13.84909722,13.865,20.24
3298200,3.944444444,587.7,3,190,20,126,1171,99,0,21,31,19,173.706,1891,814,7.533333333,14.45,14.64512846,22.65,4.090788841,2.309108138,11.54694444,13.30819444,12.78,19.275
3298300,9.676470588,19.9,1,193,11,130,1170,99,0,2,15,59,658.846,5496,814,6.25,14.3,14.40097173,21.6,0.701384783,0.384382419,12.0775,13.96680556,13.66,20.7175
3301940,7.080508475,44.6,1,179,10,131,1157,98,0,0,8,95,1096.247,6570,814,7.275,15.4,15.61429308,22.725,0.475684494,0.234744556,11.89666667,13.96958333,13.22,20.295
3302030,7.638888889,26,1,176,46,132,1155,99,0,82,16,13,119.234,816,814,6.525,14.825,14.98087449,23.025,1.944380164,0.983211845,11.73888889,13.67611111,13.155,19.8225
3353420,9.367816092,28.2,1,271,2,107,1028,96,0,47,39,30,318.653,3639,921,6.525,13.375,13.15972664,19.725,0.885298193,0.274703756,12.31444444,14.12916667,13.91,20.875
3430200,5.372093023,72.8,2,143,22,144,1231,98,0,22,15,72,626.278,3764,810,6.5,16.9,16.72369873,23,22.33067322,11.54203367,12.20055556,13.83361111,15.13,21.695
3431083,8.142857143,284.3,3,144,29,144,1238,98,0,40,10,63,660.826,4535,810,7.275,16.85,17.09719963,23.8,2.146509647,0.23560138,12.16055556,13.82333333,14.86,21.6275
3431514,2.857142857,33339.1,6,143,64,132,1351,111,0,67,21,3,51.204,532,810,7.5,16.9,17.16566949,24,376.0967255,219.5274582,12.23125,13.86902778,15.345,21.75
38171,6,235778.3,7,138,61,104,1093,101,1,74,23,4,65.995,682,921,6.1,28.175,26.84781212,29.22708333,1324.608765,791.8582764,12.74861111,13.52611111,18.89,21.79
401031281101050_,6.437262357,12802.6,6,8,90,53,1260,176,0,74,11,4,85.208,423,897,8.6,8.6,9.566034012,17.6,326.6028748,213.8250198,12.34888889,14.32527778,10.04,17.08
401031281104010_,14.44444444,1471.5,4,132,128,28,1359,213,1,64,16,1,19.088,140,897,10.4,7.3,8.285905738,14.3,32.19961166,19.2612381,12.22972222,14.49194444,10.48,16.68
401081281107070_,12.41666667,2850.1,4,37,94,45,1552,219,0,51,22,3,39.1,183,897,8.4,9.1,9.181394193,14.5,54.91722488,36.68301487,12.13611111,14.27013889,11.185,16.9875
402011282218040_,1.142857143,1875.1,5,228,61,108,1371,149,0,47,28,14,228.323,1239,895,11.5,5.8,6.334754192,8.5,30.03769684,21.79284859,10.3025,11.21194444,9.16,11.86
402011282218070_,1,2930.8,5,151,66,108,1352,148,0,54,22,13,240.638,1028,895,8.8,12.9,13.22201521,19.8,39.04228592,26.27924919,12.34916667,13.95972222,12.23,18.505
402011282228160_,1.058823529,199.8,3,412,75,102,1394,159,0,54,11,6,91.92,693,895,8.5,13.8,13.42384253,19.6,2.992724657,1.951928854,12.44611111,13.98722222,12.48,18.69
402021282206050_,1.193548387,309.7,3,92,124,97,1427,168,0,81,2,17,1311.491,2551,895,11.7,6.8,7.654586802,9.7,8.765777588,6.639416695,10.59638889,12.13,8.14,12.2
402031282207090_,4.069767442,1295,4,19,58,108,1344,156,0,60,17,11,158.233,2295,895,8,13.8,13.69907769,20.7,29.79056358,20.47101021,12.13027778,13.97388889,11.44,17.17
402041282204090_,5,5531.6,5,48,103,83,1467,179,0,65,10,6,124.175,451,889,9,12.3,12.34197493,18.8,143.6332626,92.94828415,12.30138889,14.09645833,11.49,17.1275
402071282201080_,12.42241379,1456.6,5,9,108,87,1438,181,0,75,3,14,176.914,458,878,7.5,11.2,12.01945479,18.7,64.63172913,40.48130608,12.35694444,14.22388889,10.63,17.21
403011283322030_,10.25,10.7,1,27,10,138,1424,144,0,0,4,44,560.835,5501,896,11.1,6.3,6.988517469,8.7,20.99757385,13.84288025,10.20416667,11.04055556,10.68,13.2
403031283301050_,12,9.4,1,20,0,145,1293,122,0,0,5,100,1266.953,6366,894,7.7,13.5,13.9801482,19.9,2.104919553,1.111174822,11.96277778,13.68201389,11.99,17.0925
403031283301060_,2.181818182,8931.3,6,15,112,108,1504,164,0,56,15,28,387.405,2817,888,7.7,14.9,15.19246185,21.3,152.9283752,95.2112484,12.21277778,13.821875,12.35,17.37
403031283301222_,15.16666667,1265.5,4,17,128,116,1580,169,0,56,19,26,454.05,2651,900,6.6,20.3,19.06500064,25.6,1.663020551,0.867562443,12.78097222,14.05298611,11.685,17.4675
403031283302041_,12.5,12338.6,6,6,100,111,1524,166,0,48,17,33,443.109,3079,896,10.8,7.2,7.78092962,9.6,149.4913788,104.1728134,10.23472222,11.06638889,10.61,13.02
403031283302051_,5.363425926,12523.2,6,7,98,111,1521,165,0,47,17,34,477.12,3126,896,11,6.8,6.425447427,9.7,150.6725769,104.2168655,10.15194444,10.94097222,10.35,12.395
403031283302231_,18.5,73.1,2,14,9,148,1364,136,0,0,2,100,4066.334,7943,893,11.6,7.8,9.159924558,12.1,1.696504474,1.065992832,10.45972222,11.49722222,10.72,13.7
403031283303160_,5.3,12.3,1,36,13,140,1431,149,0,37,85,0,249.807,3487,896,11,9.4,11.01694729,13.4,5.991753578,3.867899776,10.64805556,12.015,11.39,15.54
403031283305030_,1,9.4,1,11,8,149,1371,136,0,0,0,100,4267.397,9360,888,7.4,19.7,18.99175976,23.8,1.427385509,0.733126283,13.05041667,14.19381944,13.82,19.975
403031283305120_,5.105263158,462.7,3,3,2,148,1354,131,0,0,6,99,2800.095,7015,912,5.4,16.8,16.30347481,22.3,10.17344618,5.905864716,11.87194444,13.625,12.495,18.205
403031283305140_,6.519480519,634.5,3,4,2,148,1365,133,0,0,4,99,4039.995,7606,936,4.2,18.4,18.04099515,23.8,12.60688972,7.472467184,12.14638889,13.8175,12.9,18.545
