Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
DO_P25,0.221441392,0.018922517,1,22.1441392,22.1441392,1
hdi_ix_cav,0.090962296,0.012546215,1,9.096229611,31.24036881,2
solar_p75,0.08701865,0.012400886,1,8.701864975,39.94223379,3
daylength_median,0.061705922,0.00932422,1,6.170592187,46.11282597,4
pre_mm_uyr,0.06108791,0.00872388,1,6.108791006,52.22161698,5
WT_p75,0.052612092,0.009522764,1,5.261209163,57.48282614,6
slp_dg_uav,0.045665716,0.00472097,1,4.566571555,62.0493977,7
Q_p25,0.045392305,0.005742847,1,4.539230505,66.5886282,8
tmp_dc_uyr,0.043240207,0.005192139,1,4.324020683,70.91264889,9
ele_mt_cav,0.043005788,0.005525245,1,4.300578833,75.21322772,10
rdd_mk_uav,0.039506662,0.005221138,1,3.95066617,79.16389389,11
UPLAND_SKM,0.038192255,0.003961029,1,3.819225501,82.98311939,12
ari_ix_uav,0.034796217,0.005108779,1,3.479621671,86.46274106,13
ppd_pk_uav,0.033035411,0.004285993,1,3.303541055,89.76628212,14
daylength_p75,0.032455088,0.004692296,1,3.245508761,93.01179088,15
for_pc_use,0.022017324,0.002971531,1,2.201732423,95.2135233,16
crp_pc_use,0.020857114,0.002664734,1,2.085711375,97.29923467,17
wet_pc_ug2,0.01438402,0.002936284,1,1.438401953,98.73763663,18
ORD_STRA,0.012623634,0.003201522,1,1.262363372,100,19
