Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
DO_P25,0.7516759608315877,0.027806306644232295,1,75.16655538814727,75.16655538814727,1
Q_p25,0.04436826281109569,0.009877469162365033,1,4.436764853270736,79.603320241418,2
daylength_median,0.03880424878779438,0.00692324228234179,1,3.8803711543153834,83.48369139573339,3
solar_p75,0.0339864790071027,0.013497442749885537,1,3.398600846446193,86.88229224217959,4
rdd_mk_uav,0.026957062820881363,0.00320059831544197,1,2.6956689600474375,89.57796120222703,5
WT_p75,0.01987968442785685,0.004151025092260562,1,1.987940919372017,91.56590212159904,6
tmp_dc_uyr,0.018542927293561114,0.002866433630350719,1,1.8542670566820623,93.4201691782811,7
slp_dg_uav,0.011936939216539356,0.002662663578466328,1,1.1936773949672481,94.61384657324835,8
UPLAND_SKM,0.011100766179520424,0.005216783743498589,1,1.1100612489465282,95.72390782219487,9
ari_ix_uav,0.008766431541258383,0.002115237924965614,1,0.8766310170055244,96.6005388392004,10
ele_mt_cav,0.0068635743591927215,0.0023726624430479943,1,0.6863479333038249,97.28688677250423,11
crp_pc_use,0.006632814149958761,0.0025812311168807722,1,0.6632722318678291,97.95015900437205,12
pre_mm_uyr,0.0059928372755974355,0.0024218584682571924,1,0.5992754304793759,98.54943443485143,13
hdi_ix_cav,0.005867375209966628,0.0036847265816342917,1,0.5867293976184654,99.1361638324699,14
for_pc_use,0.005786206780557396,0.0021873450320304246,1,0.5786126670551944,99.71477649952509,15
wet_pc_ug2,0.0016342300099953647,0.0017511268963359358,0.996,0.1634207384088622,99.87819723793396,16
ORD_STRA,0.0012180444844805463,7.328189403020804e-4,0.994,0.12180276206604317,100,17
