gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_median,WT_mean,WT_p75,Q_median,Q_p25,daylength_median,daylength_p75,solar_median,solar_p75
Viz¨¦zy amont Bullieux,1.219553646,126.6,2,360,68,88,781,96,0,32,48,16,171.496,850,930,6.176875,17.13,16.86363834,20.095,0.277867883,0.116079954,12.24736111,13.80298611,15.025,20.89
Charpassonne le T¨¦l,0.920578494,54.6,1,629,80,92,821,100,0,12,7,0,67.597,1121,930,7.21,12.5925,12.42843102,14.85125,0.178462565,0.010359833,10.43666667,11.58138889,7.13,12.73
10129900,0.421433517,73.7,1,2098,82,53,586,58,0,51,2,3,33.326,590,925,6.8,9.025,9.911812477,15.625,0.118023336,0.060846688,12.25055556,14.18013889,16.58,24.375
1043110325021_,2.408796296,3357,5,164,104,38,1300,193,1,64,15,5,104.404,177,897,9.1,7.4,8.895888744,15.5,84.99832153,54.816329,12.44041667,14.50868056,10.58,16.7625
1043110332180_,2.718181818,405.3,3,13,75,61,1238,178,9,76,4,8,168.077,270,897,11.2,5.1,6.130453312,8.6,7.882522106,4.609732151,10.59916667,12.99111111,8.14,13.77
1043110332210_,2.925545267,640.1,4,40,131,48,1379,203,0,85,5,11,1680.004,1171,897,10.2,7,8.352865529,14.2,21.41547203,13.44807839,12.26513889,14.36868056,9.865,16.82
11044000,0.620684524,1564,5,342,64,156,440,31,0,38,5,12,181.516,1220,951,7.725,19.8,19.46240835,23.725,0.04204436,8.39E-04,12.23638889,13.7,20.27,25.64
11126400,0.612386281,1298.4,4,284,147,134,625,53,0,88,4,0,0.996,132,951,6.5,16.2,16.28836246,19.225,0.452554435,0.112398222,12.09805556,13.66833333,18.4,23.04
11128500,0.467285637,1516,4,182,137,136,607,51,0,81,5,0,9.626,186,951,5.925,16.83333333,17.11048589,19.6,0.001981255,1.56E-04,11.76944444,13.27277778,17.39,22.08
11273400,0.453906381,27801.5,5,21,73,132,452,40,5,43,29,2,47.428,396,951,7.3,18.525,18.49245326,23.925,35.26682281,14.71203709,11.98111111,13.69722222,18.28,26.5
11509370,0.973495073,9889.1,6,1306,44,59,599,61,11,67,4,0,5.611,105,928,6.75,11.6,12.03158472,19.1125,46.06612778,25.66236496,10.24055556,12.82972222,9.76,18.565
1191000,0.258485622,77.1,2,37,25,96,1180,117,38,42,8,54,637.858,4932,955,7.4,13.2,12.62700629,20.275,1.464403272,0.332776487,12.41527778,14.38416667,13.1,21.025
1363121256010_,2.641587302,711.5,4,6,156,91,1922,229,0,70,12,5,106.043,332,892,9.7,11.5,11.84476467,18.1,40.71663666,24.60818291,12.48055556,14.20569444,10.96,17.82
14151000,0.8,488.2,4,272,156,87,1650,170,0,99,1,0,1.046,10,928,10.675,9.1,10.18025269,12.8,23.14458084,10.93183422,10.25972222,11.81888889,7.95,13.73
14202650,1.132624443,187.6,3,73,91,96,1772,197,0,67,15,0,18.116,248,928,5.1,13.25,13.01557102,17.38125,0.6746701,0.392317355,11.91305556,14.54972222,10.36,17.39
14206950,0.66317577,139.7,3,53,34,111,1090,112,0,23,3,100,1647.002,9537,928,7.4,12.8,13.32049201,18.35,0.643027425,0.159717217,12.13694444,14.47777778,11.21,19.66
1475548,0.403912424,57.9,2,28,15,121,1125,108,0,0,0,100,4041.175,12545,943,7.1,17.075,16.45575133,22.15416667,0.347169995,0.055953983,12.44638889,14.20333333,15.19,21.7
1484272,0.278782604,129.9,2,6,6,128,1098,102,38,62,54,0,52.343,997,946,5.175,16.9,16.65199958,24.325,1.475438416,0.337308966,12.21986111,14.00256944,14.385,21.5925
1484525,0.424759316,156.4,3,10,6,129,1103,101,38,59,35,5,123.075,901,946,9.05,16.375,16.26098732,23.725,1.77744019,0.564561903,11.91138889,13.88388889,13.59,21.25
1552046,2.708931207,812,4,47,42,87,1013,163,0,0,18,44,1194.798,3257,890,8.166947074,10.8,10.70162514,15.45,9.24853611,4.344344616,11.06833333,15.83652778,6.29,14.635
1552048,1.74431493,881.7,4,33,41,87,988,159,0,0,18,47,1231.753,3415,890,1.622907794,10.8,11.0625,15.9,9.667287827,5.072615862,10.38319444,15.86388889,5.225,14.51
1584376,2.017144081,3265,5,16,34,83,844,138,0,0,40,4,91.311,676,929,9.153830531,8.5,9.286550103,13,34.15312576,15.922616,10.42194444,13.55375,5.58,10.74
1611500,0.766666667,1740.1,4,302,88,101,957,89,0,99,10,0,10.058,192,838,8.2,14.75,14.62314097,23.4,10.28403187,4.35299921,12.20861111,14.08208333,13.25,19.885
1646000,0.983333333,144.9,2,91,18,125,1020,90,0,66,1,81,842.327,6891,950,8.35,14.05833333,13.89677306,21.075,0.907192647,0.206472419,12.12944444,13.97402778,13.82,21.045
1649500,0.649663328,198.3,3,31,18,127,1074,96,38,24,4,76,1183.483,5977,953,8.25,15.16666667,14.9850809,22.61666667,1.843130827,0.319142722,12.20805556,14.02152778,14.435,22.01
1656903,0.343405449,22.1,1,104,11,126,1008,88,0,53,2,99,1378,6431,950,7.4,15.54166667,15.20231444,21.85,0.531555057,0.018322747,12.30305556,14.04805556,14.27,21.31
204025,0.329191466,130.7,3,173,123,172,1991,160,0,100,0,0,5.828,47,954,3.53,19.218,19.02912827,21.07525,4.794310808,1.234688669,11.80722222,13.59451389,16.5,20.585
2079500,0.694585432,20446.2,6,89,35,134,1113,91,0,73,16,2,43.375,428,946,5.05,15.6,15.23758021,20.575,206.0226135,118.869545,11.99722222,13.80444444,14.98,21.96
2081094,0.994133604,39.7,2,15,6,158,1261,100,72,85,13,0,25.982,173,918,6.125,18.2,18.11679319,25.75,248.0201569,153.6303253,12.12194444,13.75583333,15.63,21.77
2101726,0.414819201,170.4,2,181,14,146,1168,92,0,74,15,1,38.113,512,918,4.975,17.225,16.7584203,23.825,1.710469127,0.679918051,12.17680556,13.760625,16.15,22.0825
2110400,0.881342597,115.7,2,4,2,169,1278,97,49,64,9,0,26.441,180,866,5.9,19.95,19.34767964,25.575,0.69229269,0.175917946,12.16,13.66361111,16.83,22.95
2110500,0.470590506,2946.1,4,-1,3,167,1280,97,39,62,15,0,24.281,279,865,4.45,19.4,19.06263985,25.6,23.70746803,14.04210615,12.16,13.68361111,16.83,23.01
2110701,0.961845169,98,2,0,1,172,1273,95,38,23,19,2,73.26,812,865,3.45,19.3,18.78488183,25.3,0.183612004,0.041415825,12.25,13.76041667,16.82,22.67
2110704,0.410586525,150.4,2,2,1,173,1276,95,39,28,18,6,108.537,863,865,4,20,19.6615105,26.2,31.15523529,18.4125061,12.20611111,13.69180556,16.67,22.665
212011,2.346760417,411.5,3,860,72,118,922,83,0,82,13,4,36.383,224,954,10.528,12.1855,13.01251389,13.767,1.6085217,1.422888637,12.04472222,14.29555556,15.24,20.14
212054,1.946076318,203.6,3,945,57,118,888,80,0,72,7,0,12.423,224,954,10.4425,7.2,7.718696827,8.31025,0.587693274,0.547364324,10.41361111,10.88701389,12.965,15.815
212244,0.578197365,59.4,2,297,42,150,1042,82,0,99,6,0,29.034,875,954,2.73575,18.9,17.05012304,22.238,0.11303037,0.07566868,13.8225,14.31138889,19.195,27.9375
212250,0.195841991,1455.3,3,529,118,122,993,88,0,88,8,1,13.919,130,954,10.456,11.788,12.32635408,12.8,4.097313166,1.703964561,10.40361111,11.18666667,10.575,13.9375
2122518,1.426732295,734.8,4,660,34,121,774,65,0,5,6,1,14.358,206,954,0.73675,19.7045,20.20979167,21.806,0.277522027,0.026492262,12.89708333,13.80173611,20.805,25.1925
2122520,0.96435636,13.1,1,681,26,130,1030,90,0,24,2,38,307.58,459,954,1.69575,18.95,18.89666175,21.49375,0.171955869,0.088520423,13.78166667,14.26527778,22.16,26.95
212270,2.180207409,4603.8,4,422,61,126,831,70,0,44,3,1,11.529,186,954,10.746,10.5,11.32438184,11.975,7.048395157,4.305619001,10.23638889,10.76263889,11.05,13.275
2122711,0.831123973,1359.4,4,681,33,123,751,63,0,9,5,2,17.88,211,954,2.832,8.863,12.80472866,20.124,0.504171133,0.152419701,10.85527778,12.95888889,12.85,18.9
2122713,1.607882195,349.8,3,728,51,120,801,68,0,30,2,0,1.353,154,954,0.56,18.025,17.45295377,19.525,0.082567792,0.041225922,13.05333333,14.33847222,21.49,27.495
212274,0.471613636,38.4,1,682,46,131,1583,145,0,67,0,0,6.424,195,954,10.23475,11.161,11.10311259,11.7,1.225369096,1.00398165,10.14361111,11.24395833,10.34,11.9775
212378405,0.290086342,12200.6,5,95,37,140,1185,94,0,50,18,6,85.007,913,918,5.875,24.525,23.54360838,27.15,124.7267685,74.8321228,13.43777778,14.255,19.09,23.92
212880025,0.621504974,17767.4,5,76,31,145,1180,93,0,56,19,7,92.99,959,918,6.416666667,25.3,24.0110886,28.15,151.6063614,95.55935287,13.34,14.18694444,19.185,23.92
2129375,0.240740741,18362.5,5,61,30,145,1180,93,0,57,18,7,91.888,951,918,6.25,26.05,24.69302571,28.65,169.570755,99.34850883,13.54319444,14.29284722,19.66,23.8825
213211,1.142287037,167.2,2,115,65,163,1347,116,0,94,0,24,374.827,1688,954,3.01025,12.888,15.78491135,20.622,0.489857748,0.109602287,11.15972222,13.51131944,12.385,18.025
2135000,0.215,7114.8,5,7,4,163,1204,90,43,21,30,1,42.177,472,865,5.7,19.725,19.23420571,25.975,55.12322426,32.90733242,12.17222222,13.66506944,16.42,22.24
2138520,0.762878788,1024.8,4,359,106,122,1357,116,0,97,3,1,29.659,453,918,6.8,15.7,15.68851784,18.6,4.246775389,1.909547776,13.14861111,14.15597222,19.12,23.9775
214244102,0.0205,3819.5,5,278,72,132,1301,107,0,82,7,4,73.348,855,918,6.325,22.375,21.68161492,25.8,63.29099274,32.83502197,13.31361111,14.21888889,19.51,24.32
2145910,0.624814809,7847.2,5,189,47,141,1250,100,0,62,10,10,128.214,1499,865,6.9,24.35,23.36551232,27.8,115.0335808,84.60828972,13.28111111,14.17027778,19.21,24.4425
