Feature,mean_gain,sd_gain,selection_freq,mean_gain_pct,cum_gain_pct,rank
solar_p75,0.29046951358484663,0.03347894100543134,1,29.04644556052246,29.04644556052246,1
DO_P25,0.08787524285913945,0.008725176393116119,1,8.787371267725502,37.83381682824796,2
ari_ix_uav,0.08551990720976674,0.02248633361798269,1,8.551841804161754,46.385658632409715,3
crp_pc_use,0.08356575201118871,0.013708057836811435,1,8.35642968709726,54.742088319506976,4
hdi_ix_cav,0.07567901847722354,0.01370618954626701,1,7.567770066962113,62.30985838646909,5
tmp_dc_uyr,0.05600846076563573,0.013798961857991548,1,5.600748548375599,67.9106069348447,6
ele_mt_cav,0.04576320062097645,0.00978568131034583,1,4.576240374101021,72.48684730894571,7
daylength_p75,0.04091191834846877,0.008048620712856355,1,4.091120594444829,76.57796790339054,8
ppd_pk_uav,0.03760892711285769,0.007800586571242294,1,3.760827222421001,80.33879512581154,9
slp_dg_uav,0.032360033582899496,0.006699018649245577,1,3.2359470093848923,83.57474213519643,10
Q_p25,0.029759700840621853,0.006259827180078262,1,2.975918263146953,86.55066039834338,11
rdd_mk_uav,0.02874778888107092,0.0060063967179016025,1,2.8747288292459934,89.42538922758938,12
pre_mm_uyr,0.02864647761492495,0.00491325940034653,1,2.8645978790458897,92.28998710663527,13
UPLAND_SKM,0.0223697392112802,0.0038201735486122265,1,2.2369349684394284,94.5269220750747,14
WT_p75,0.018126208044648078,0.005899923245068905,1,1.8125892410866813,96.33951131616138,15
daylength_median,0.016486015905775152,0.004554270157201744,1,1.6485728832851487,97.98808419944652,16
for_pc_use,0.011018020419518345,0.003333809934914118,1,1.1017828561439784,99.0898670555905,17
ORD_STRA,0.006199251227411967,0.0018477504463288584,1,0.6199143279125094,99.70978138350301,18
wet_pc_ug2,0.0029022367019570614,0.0020344838296454575,0.994,0.29021861649698377,100,19
