site_id,total_days,hypoxia_day_count,lat_wgs84,lon_wgs84,percent,Class
NZL00076,276,0,-46.38951541,168.7971561,0,0
NZL00079,275,0,-46.32627544,168.2659635,0,0
NZL00075,277,0,-46.23727757,169.7479876,0,0
NZL00080,277,0,-46.13030361,167.6858301,0,0
NZL00074,275,0,-45.84642828,170.2439385,0,0
NZL00081,279,0,-45.80502969,167.5342637,0,0
NZL00078,278,0,-45.71625294,168.4281448,0,0
NZL00071,270,0,-45.66474969,169.4100638,0,0
NZL00073,271,0,-45.59619921,170.0941372,0,0
NZL00077,276,0,-45.55825646,168.5612524,0,0
NZL00072,273,0,-45.25653788,170.2728455,0,0
NZL00069,271,0,-45.0063639,168.8687454,0,0
NZL00070,271,0,-44.98997365,168.714982,0,0
NZL00067,272,0,-44.92710749,171.1003386,0,0
NZL00068,271,0,-44.72909654,169.2805783,0,0
NZL00066,273,0,-44.72479926,170.4905505,0,0
NZL00065,273,0,-44.7005363,170.4511796,0,0
NZL00062,273,0,-44.26803132,171.3241322,0,0
NZL00063,274,0,-44.16825454,170.9416887,0,0
NZL00064,273,0,-44.07889343,170.9797196,0,0
NZL00057,269,0,-43.94246432,169.297935,0,0
NZL00004,59,0,-43.46666667,172.3272222,0,0
NZL00061,274,0,-43.41727627,172.6417652,0,0
NZL00060,275,0,-43.35899784,172.051179,0,0
NZL00059,275,0,-42.8984314,173.0966222,0,0
NZL00058,275,0,-42.79038859,172.5415535,0,0
NZL00055,274,0,-42.45351682,171.2979004,0,0
NZL00056,275,0,-42.35445854,171.7861606,0,0
NZL00051,280,0,-41.89640742,172.92295,0,0
NZL00054,274,0,-41.83490202,171.6998539,0,0
NZL00053,280,0,-41.76508844,172.3867622,0,0
NZL00050,279,0,-41.63348415,172.9137059,0,0
NZL00052,279,0,-41.43874895,173.9526757,0,0
NZL00049,280,0,-41.24979589,172.8247746,0,0
NZL00044,277,0,-41.19796051,174.9221918,0,0
NZL00046,276,0,-41.19542345,175.4396424,0,0
NZL00045,275,0,-41.05085782,175.1915888,0,0
NZL00047,275,0,-41.0029423,175.6715772,0,0
NZL00048,275,0,-40.76212132,175.6050745,0,0
NZL00033,276,0,-40.43534838,175.4697891,0,0
NZL00032,277,0,-40.37246877,175.6241641,0,0
NZL00031,277,0,-40.24049548,176.1117232,0,0
NZL00030,277,0,-40.12503749,175.4443694,0,0
NZL00038,270,0,-39.81786414,176.3040086,0,0
NZL00029,278,0,-39.8103246,175.8081458,0,0
NZL00028,279,0,-39.78687736,175.1425511,0,0
NZL00039,270,0,-39.71537881,176.9270268,0,0
NZL00040,270,0,-39.59642164,176.872472,0,0
NZL00027,280,0,-39.57634078,174.2103167,0,0
NZL00041,268,0,-39.37991823,176.3306411,0,0
NZL00026,280,0,-39.28117212,174.2617955,0,0
NZL00043,269,0,-39.17774762,176.6348188,0,0
NZL00042,268,0,-39.07355376,177.1290903,0,0
NZL00025,280,0,-39.04790138,174.2551041,0,0
NZL00024,281,0,-38.99450946,175.8131152,0,0
NZL00023,281,0,-38.94250456,175.1889173,0,0
235224,402,0,-38.7015,143.248,0,0
NZL00001,108,0,-38.68333333,176.0666667,0,0
NZL00022,274,0,-38.67574763,176.0773718,0,0
235209,391,0,-38.6685,143.581,0,0
227211,386,0,-38.64,146.372,0,0
235205,390,0,-38.6396,143.443,0,0
227237,387,0,-38.6296,146.308,0,0
235211,402,22,-38.5891,143.257,5.472636816,1
227202,398,0,-38.5816,145.992,0,0
235216,388,0,-38.5725,143.947,0,0
235202,400,0,-38.5629,143.656,0,0
227200,553,0,-38.5393,146.675,0,0
233214,399,5,-38.533,143.729,1.253132832,0
235227,401,0,-38.5243,143.484,0,0
