file,longitude,latitude,total_days,days_with_DO_below_3,days_11am_DO_below_3,per
FUI,2.5667,41.6833,1158,16,4,75
613,11.4261,48.7574,10,10,10,46.7592593
616,12.7473,48.8798,10,10,10,34.439834
204025,153.0333,-30.2528,140,22,11,50
212011,150.0951,-33.5343,48,3,3,0
212054,150.0839,-33.3971,239,9,7,22.22222222
212244,150.5591667,-33.97944444,191,95,73,23.15789474
212250,150.2540137,-33.87124191,751,6,0,100
2122518,149.6794444,-34.73666667,51,51,49,3.921568627
2122520,150.33737,-34.54592,144,117,99,15.38461538
212270,150.252806,-34.227667,2070,10,10,0
2122711,149.7930558,-34.7213892,1244,463,356,23.11015119
2122713,149.88297,-34.61162,493,468,448,4.273504274
212274,150.5775536,-34.57719481,47,1,0,100
213211,151.005328,-34.046561,568,172,115,33.13953488
215207,150.1821299,-34.81921893,2298,157,156,0.636942675
2152131,150.284944,-34.7345,566,14,13,7.142857143
215216,150.4318317,-34.83943446,1450,1,1,0
215220,150.5224407,-34.72798991,1920,6,6,0
2152201,150.582545,-34.712767,396,2,1,50
215233,150.5191395,-34.60520243,44,41,30,26.82926829
223209,147.8491161,-37.7573062,1139,8,4,50
223210,147.7109962,-37.73756155,100,43,42,2.325581395
224203,147.3747776,-37.76358991,48,1,0,100
224602,147.6378972,-37.84944444,103,103,87,15.53398058
225212,146.8810046,-38.01068638,156,1,0,100
225236,146.7800107,-38.00213184,9,9,6,33.33333333
225256,146.9815133,-38.00396747,160,13,11,15.38461538
226027,147.127818,-38.14491292,117,6,5,16.66666667
226415,146.5404981,-38.2698709,46,16,9,43.75
226614,147.0755,-38.12684167,98,98,87,11.2244898
227264,145.9571493,-38.44973718,267,240,220,8.333333333
227270,145.7926083,-38.43219544,536,498,487,2.208835341
227273,145.5105533,-38.57365861,126,113,113,0
229143,145.02505,-37.78588056,373,13,13,0
229147,145.3233194,-37.6894,16,4,1,75
230220,144.73922,-37.49078,179,90,58,35.55555556
230240,144.7368969,-37.57117842,734,559,475,15.02683363
232242,144.1318,-37.86192,181,6,6,0
233217,144.3468922,-38.16360559,241,11,8,27.27272727
409003,144.9657,-35.53,1070,84,83,1.19047619
409005,144.1245,-35.6298,1417,68,65,4.411764706
409013,143.5702,-35.0376,588,159,147,7.547169811
409014,144.0331,-35.0899,1216,144,134,6.944444444
409016,147.0239833,-36.09927778,225,5,4,20
409025,145.994,-36.0114,277,64,64,0
409036,143.5826,-35.1074,1269,107,104,2.803738318
409044,144.0517,-35.5214,924,124,114,8.064516129
409047,144.9596,-35.6428,798,89,85,4.494382022
409048,144.1595,-35.2739,995,84,81,3.571428571
409062,143.9322,-35.329,772,143,138,3.496503497
409086,143.8001,-35.1351,1031,115,112,2.608695652
410040,144.3009,-34.4776,874,29,29,0
410130,143.4917,-34.665,1071,146,138,5.479452055
412004,147.9910504,-33.41080904,398,192,182,5.208333333
412005,144.8811,-33.8695,85,19,10,47.36842105
412006,147.1482,-33.091,277,31,28,9.677419355
412011,146.4532,-33.201,300,121,86,28.92561983
412038,145.87524,-33.348326,209,160,139,13.125
412039,145.504,-33.4873,69,13,10,23.07692308
412047,145.9027,-33.3824,145,88,82,6.818181818
422001,148.06075,-30.01531667,295,216,196,9.259259259
422002,146.8637167,-29.94716667,295,216,196,9.259259259
422003,148.576104,-29.547141,227,161,150,6.832298137
422027,147.3768667,-30.14343333,274,187,179,4.278074866
425001,142.4218,-32.3969,28,27,25,7.407407407
425003,145.936761,-30.087894,245,163,152,6.748466258
425004,145.1150748,-30.53474142,251,94,94,0
425007,142.2682778,-33.74641667,762,30,27,10
425012,142.3799,-32.4353,67,26,24,7.692307692
425039,146.3004,-29.9646,427,270,255,5.555555556
A2390542,140.74025,-36.945858,24,24,22,8.333333333
A2391077,139.945693,-37.391211,1004,41,18,56.09756098
A2391078,139.990479,-37.427827,1294,184,73,60.32608696
A2391081,140.005692,-36.572526,949,226,208,7.96460177
A2391082,139.881494,-36.546058,130,1,0,100
A2391085,140.2577,-36.7379,746,518,500,3.474903475
A2391086,140.3056,-36.5802,147,111,110,0.900900901
A2391140,140.015728,-36.402293,26,1,1,0
A2391152,139.93055,-36.294824,612,66,14,78.78787879
A4260554,139.68861,-34.021444,180,5,3,40
A4260573,140.217719,-34.174481,106,10,10,0
A4260580,140.9525,-33.9211,1099,51,47,7.843137255
A4260594,139.9151,-34.15,2428,38,37,2.631578947
A4260633,139.3956,-35.901976,798,98,46,53.06122449
A4260644,140.759761,-34.25953,719,167,167,0
A4260645,140.687294,-34.264687,245,42,41,2.380952381
A4260702,139.839139,-34.062186,944,2,1,50
A4260703,140.77938,-34.15414,2424,21,21,0
A4261022,140.9615,-33.9798,2969,42,33,21.42857143
A4261023,140.7166,-34.2524,2594,11,10,9.090909091
A4261024,140.511,-34.4505,2443,29,28,3.448275862
A4261053,140.808721,-34.267527,95,22,19,13.63636364
A4261055,140.808045,-34.223598,384,5,4,20
A4261107,140.902121,-33.952305,560,27,20,25.92592593
A4261108,140.546401,-34.383541,2505,36,23,36.11111111
A4261124,138.90628,-35.495993,38,5,5,0
A4261134,139.0266,-35.6005,4,3,3,0
A4261139,138.9135,-35.1877,2557,1829,1435,21.54182613
A4261165,139.608272,-36.10874,2,2,2,0
A4261168,140.84037,-34.026439,3086,11,11,0
A4261173,138.990179,-35.232757,51,49,45,8.163265306
A4261204,138.909811,-35.534114,168,20,1,95
A4261224,140.862866,-34.00223,3050,49,29,40.81632653
