file_name,n_events,start_median_shift,end_median_shift,start_median_hour,end_median_hour,start_median_time,end_median_time,latitude,longitude,lc5_point,lc5_name,lc5_dom_2km,lc5_dom_name_2km,p_natural_2km,p_urban_2km,p_other_2km,p_crop_2km,p_wetland_2km,human_share,human_impacted,landuse_group
10129900,168,27,31,3,7,03:00:00,07:00:00,40.73522634,-111.4760313,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1043110325021_,4,30,26.5,6,2.5,06:00:00,02:30:00,43.7631,142.275,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1043110332180_,14,20,18,20,18,20:00:00,18:00:00,42.8325,141.6597,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1043110332210_,176,34,15,10,15,10:00:00,15:00:00,43.0378,141.355,3,Urban,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
11044000,11,27.5,30,3.5,6,03:30:00,06:00:00,33.4739175,-117.1422536,1,Natural vegetation,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
1104430,1,20,22,20,22,20:00:00,22:00:00,42.3981512,-71.2733903,3,Urban,5,Other,0,0,1,0,0,0,FALSE,Mixed
11092450,25,23,30,23,6,23:00:00,06:00:00,34.16167247,-118.466749,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
11126400,22,31,31,7,7,07:00:00,07:00:00,34.5901111,-120.025361,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11128500,331,27,32,3,8,03:00:00,08:00:00,34.58498706,-120.1445926,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
11152880,5,24,29,0,5,00:00:00,05:00:00,37.04368056,-121.2759028,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11152900,8,25,27.5,1,3.5,01:00:00,03:30:00,37.0499451,-121.327431,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11153000,2,26.5,29.5,2.5,5.5,02:30:00,05:30:00,36.98,-121.3802778,2,Cropland,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
11273400,24,27.5,26,3.5,2,03:30:00,02:00:00,37.3472151,-120.9761777,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
11509370,360,28,23,4,23,04:00:00,23:00:00,42.12788298,-121.9288769,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1191000,32,29,33,5,9,05:00:00,09:00:00,41.78443889,-72.7080556,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
12507573,2,30,30,6,6,06:00:00,06:00:00,46.2852222,-120.0919944,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
1302020,5,28,32,4,8,04:00:00,08:00:00,40.86230556,-73.87438889,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
135749950,6,15.5,14.5,15.5,14.5,15:30:00,14:30:00,42.78569444,-73.7104167,3,Urban,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
1402000,8,29,33.5,5,9.5,05:00:00,09:30:00,40.475,-74.5758333,2,Cropland,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
14078260,2,24.5,30.5,0.5,6.5,00:30:00,06:30:00,44.062,-120.0433056,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
14151000,1,16,16,16,16,16:00:00,16:00:00,43.94429299,-122.774794,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
14202650,232,22,23,22,23,22:00:00,23:00:00,45.44064167,-123.125,2,Cropland,2,Cropland,0.25,0,0,0.75,0,0.75,TRUE,Ag-dominated
14206950,27,21,20,21,20,21:00:00,20:00:00,45.403452,-122.7548185,3,Urban,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
1465798,1,32,33,8,9,08:00:00,09:00:00,40.0569557,-74.9851603,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1467087,8,26,30,2,6,02:00:00,06:00:00,40.0159454,-75.0968411,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1473900,11,31,32,7,8,07:00:00,08:00:00,40.1239987,-75.2198992,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1475548,28,23,27,23,3,23:00:00,03:00:00,39.9327861,-75.2376361,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1477050,3,27,27,3,3,03:00:00,03:00:00,39.83677934,-75.36630199,5,Other,5,Other,0,0,1,0,0,0,FALSE,Mixed
1484272,497,27,28,3,4,03:00:00,04:00:00,38.791,-75.25077778,1,Natural vegetation,2,Cropland,0.25,0,0,0.5,0.25,0.5,TRUE,Ag-dominated
1484525,80,26,26,2,2,02:00:00,02:00:00,38.59455556,-75.29102778,3,Urban,1,Natural vegetation,0.5,0,0.5,0,0,0,FALSE,Natural-dominated
1552046,11,22.5,27,22.5,3,22:30:00,03:00:00,53.77701,-1.505282,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1552048,82,25.5,24.5,1.5,0.5,01:30:00,00:30:00,53.75148,-1.42369,3,Urban,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
1574000,3,34,34,10,10,10:00:00,10:00:00,40.0809008,-76.7180813,2,Cropland,2,Cropland,0,0,0.25,0.75,0,0.75,TRUE,Ag-dominated
1584376,27,22,29,22,5,22:00:00,05:00:00,53.99151,-1.13211,2,Cropland,2,Cropland,0,0.5,0,0.5,0,1,TRUE,Urban-dominated
1611500,1,34,12,10,12,10:00:00,12:00:00,39.5823158,-78.3097312,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
164579522,4,32,21.5,8,21.5,08:00:00,21:30:00,38.9256,-77.32933889,3,Urban,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
1646000,2,21.5,22.5,21.5,22.5,21:30:00,22:30:00,38.97594346,-77.24581439,1,Natural vegetation,1,Natural vegetation,0.75,0.25,0,0,0,0.25,FALSE,Natural-dominated
1649500,29,27,25.5,3,1.5,03:00:00,01:30:00,38.96025,-76.9259722,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1654500,3,31,33,7,9,07:00:00,09:00:00,38.81358508,-77.2364549,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1656903,23,28,30,4,6,04:00:00,06:00:00,38.8823899,-77.4319047,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
1670200,7,20,26,20,2,20:00:00,02:00:00,38.1545801,-77.9502747,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
204025,27,20,34,20,10,20:00:00,10:00:00,-30.2528,153.0333,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2079500,1547,23,28,23,4,23:00:00,04:00:00,36.60319824,-78.2977743,5,Other,1,Natural vegetation,0.5,0,0.5,0,0,0,FALSE,Natural-dominated
2081094,27,27.5,21,3.5,21,03:30:00,21:00:00,35.81305556,-76.89277778,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0,0.5,0,FALSE,Natural-dominated
2098,5,20,28,20,4,20:00:00,04:00:00,40.363954,120.273091,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2100,1,12,12,12,12,12:00:00,12:00:00,30.84969,120.418512,3,Urban,3,Urban,0.25,0.5,0,0.25,0,0.75,TRUE,Urban-dominated
2101726,608,20,33,20,9,20:00:00,09:00:00,35.73514055,-79.4230754,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2102,26,28,32,4,8,04:00:00,08:00:00,41.1889225,122.1876454,3,Urban,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2106,45,28,32,4,8,04:00:00,08:00:00,30.388179,114.352698,3,Urban,5,Other,0,0.3333333333333333,0.6666666666666666,0,0,0.3333333333333333,TRUE,Mixed
2107,53,24,32,0,8,00:00:00,08:00:00,34.765515,113.753602,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2108,50,20,32,20,8,20:00:00,08:00:00,30.402384,120.554155,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2110400,577,25,27,1,3,01:00:00,03:00:00,33.953505,-78.71973988,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2110500,128,25,25,1,1,01:00:00,01:00:00,33.9126719,-78.7150175,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2110701,2264,23,23,23,23,23:00:00,23:00:00,33.86100349,-79.0411471,1,Natural vegetation,1,Natural vegetation,0.5,0.25,0,0,0.25,0.25,FALSE,Natural-dominated
2110704,408,25,22,1,22,01:00:00,22:00:00,33.8326111,-79.0437222,3,Urban,3,Urban,0,0.5,0,0,0.5,0.5,TRUE,Urban-dominated
2111,1,16,20,16,20,16:00:00,20:00:00,43.628448,126.308376,1,Natural vegetation,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
2113,1,28,12,4,12,04:00:00,12:00:00,27.094325,109.614806,5,Other,1,Natural vegetation,0.5,0,0.5,0,0,0,FALSE,Natural-dominated
2114,6,14,14,14,14,14:00:00,14:00:00,34.889459,108.989429,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2118,28,24,20,0,20,00:00:00,20:00:00,45.787555,126.752056,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
212054,9,22.5,23,22.5,23,22:30:00,23:00:00,-33.3971,150.0839,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2121,24,28,20,4,20,04:00:00,20:00:00,45.552395,133.281365,2,Cropland,2,Cropland,0.25,0,0,0.5,0.25,0.5,TRUE,Ag-dominated
212244,158,23,21.5,23,21.5,23:00:00,21:30:00,-33.97944444,150.5591667,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
212250,7,20,31,20,7,20:00:00,07:00:00,-33.87124191,150.2540137,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2122518,33,19.5,23,19.5,23,19:30:00,23:00:00,-34.73666667,149.6794444,2,Cropland,1,Natural vegetation,0.5,0.5,0,0,0,0.5,TRUE,Urban-dominated
2122520,98,23,23,23,23,23:00:00,23:00:00,-34.54592,150.33737,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
212270,10,15,23,15,23,15:00:00,23:00:00,-34.227667,150.252806,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2122711,502,21,23,21,23,21:00:00,23:00:00,-34.7213892,149.7930558,1,Natural vegetation,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2122713,209,23,22,23,22,23:00:00,22:00:00,-34.61162,149.88297,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
212274,4,16,22,16,22,16:00:00,22:00:00,-34.57719481,150.5775536,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2123,1,12,12,12,12,12:00:00,12:00:00,31.620979,119.021234,1,Natural vegetation,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
212378405,82,23,30,23,6,23:00:00,06:00:00,35.20066667,-80.0618056,5,Other,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2124,37,32,32,8,8,08:00:00,08:00:00,33.626572,114.680083,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2125,4,24,24,0,0,00:00:00,00:00:00,23.366544,104.253525,3,Urban,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2126,13,28,32,4,8,04:00:00,08:00:00,41.149403,121.813325,3,Urban,3,Urban,0,0.6666666666666666,0,0.3333333333333333,0,1,TRUE,Urban-dominated
2127,11,20,20,20,20,20:00:00,20:00:00,45.905029999999996,126.504213,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
212880025,34,23,27.5,23,3.5,23:00:00,03:30:00,34.9834833,-79.8775806,5,Other,1,Natural vegetation,0.75,0,0.25,0,0,0,FALSE,Natural-dominated
2129,2,20,14,20,14,20:00:00,14:00:00,33.686867,114.196677,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2129375,4,30.5,30.5,6.5,6.5,06:30:00,06:30:00,34.8662583,-79.878925,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2131,1,12,12,12,12,12:00:00,12:00:00,20.009525,110.375224,4,Wetland,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
213211,213,17,25,17,1,17:00:00,01:00:00,-34.046561,151.005328,1,Natural vegetation,3,Urban,0,1,0,0,0,1,TRUE,Urban-dominated
2134,1,12,12,12,12,12:00:00,12:00:00,34.183074,108.187798,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
2135,6,28,28,4,4,04:00:00,04:00:00,35.909376,119.156486,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2135000,1,20,23,20,23,20:00:00,23:00:00,34.05675,-79.2477222,1,Natural vegetation,1,Natural vegetation,0.75,0,0,0,0.25,0,FALSE,Natural-dominated
2136,1,16,16,16,16,16:00:00,16:00:00,38.507579,110.896829,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2138,3,28,16,4,16,04:00:00,16:00:00,28.944771,106.741756,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2138520,3,17,23,17,23,17:00:00,23:00:00,35.74125,-81.8352528,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2142,3,20,20,20,20,20:00:00,20:00:00,39.918966,119.631456,5,Other,3,Urban,0,0.75,0.25,0,0,0.75,TRUE,Urban-dominated
214244102,1,29,29,5,5,05:00:00,05:00:00,35.75719444,-81.08915,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2144,6,28,18,4,18,04:00:00,18:00:00,41.879991,120.98351,2,Cropland,1,Natural vegetation,0.5,0,0,0.5,0,0.5,TRUE,Ag-dominated
2145,66,32,32,8,8,08:00:00,08:00:00,25.958516,100.124072,2,Cropland,5,Other,0.25,0,0.5,0.25,0,0.25,FALSE,Mixed
2145910,109,27,27,3,3,03:00:00,03:00:00,35.01641944,-81.00156389,1,Natural vegetation,3,Urban,0.25,0.75,0,0,0,0.75,TRUE,Urban-dominated
2147310,37,32,31,8,7,08:00:00,07:00:00,34.59805556,-80.8905556,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
21474095,22,25,24,1,0,01:00:00,00:00:00,34.55801667,-80.8935,1,Natural vegetation,5,Other,0,0,1,0,0,0,FALSE,Mixed
2147505,17,28,32,4,8,04:00:00,08:00:00,34.5411111,-80.8752778,1,Natural vegetation,5,Other,0,0,1,0,0,0,FALSE,Mixed
2148,4,20,20,20,20,20:00:00,20:00:00,27.840777,102.269485,4,Wetland,1,Natural vegetation,0.6666666666666666,0.3333333333333333,0,0,0,0.3333333333333333,TRUE,Natural-dominated
2151,5,28,28,4,4,04:00:00,04:00:00,36.276864,116.117321,2,Cropland,2,Cropland,0,0.25,0,0.75,0,1,TRUE,Ag-dominated
2152131,5,18.5,23,18.5,23,18:30:00,23:00:00,-34.7345,150.284944,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
215220,10,18,18,18,18,18:00:00,18:00:00,-34.72798991,150.5224407,1,Natural vegetation,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
215233,57,19,23,19,23,19:00:00,23:00:00,-34.60520243,150.5191395,1,Natural vegetation,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2159,19,18,20,18,20,18:00:00,20:00:00,34.749162,110.050793,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2164,11,28,28,4,4,04:00:00,04:00:00,35.004221,118.912242,2,Cropland,2,Cropland,0,0,0,1,0,1,TRUE,Ag-dominated
2165,286,20,20,20,20,20:00:00,20:00:00,24.360423,117.93156,3,Urban,2,Cropland,0,0.25,0.25,0.5,0,0.75,TRUE,Ag-dominated
2167600,1,26,28,2,4,02:00:00,04:00:00,34.09930647,-81.5684382,1,Natural vegetation,1,Natural vegetation,0.75,0,0.25,0,0,0,FALSE,Natural-dominated
2167716,39,28,27,4,3,04:00:00,03:00:00,34.0795843,-81.5617714,5,Other,1,Natural vegetation,1,0,0,0,0,0,FALSE,Natural-dominated
2168504,27,28,22,4,22,04:00:00,22:00:00,34.0509822,-81.2095418,3,Urban,3,Urban,0.25,0.5,0.25,0,0,0.5,TRUE,Urban-dominated
