gauge_id,hypoxia_frequency,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,wet_pc_ug2,for_pc_use,crp_pc_use,urb_pc_use,ppd_pk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
Viz¨¦zy amont Bullieux,10.45751634,126.6,2,360,68,88,781,0,32,48,16,171.496,930,6.176875,20.095,0.116079954,12.24736111,13.80298611,20.89
10129900,2.78020633,73.7,1,2098,82,53,586,0,51,2,3,33.326,925,6.8,15.625,0.060846688,12.25055556,14.18013889,24.375
Charpassonne le T¨¦l,12.66666667,54.6,1,629,80,92,821,0,12,7,0,67.597,930,7.21,14.85125,0.010359833,10.43666667,11.58138889,12.73
1043110325021_,0.213725956,3357,5,164,104,38,1300,1,64,15,5,104.404,897,9.1,15.5,54.816329,12.44041667,14.50868056,16.7625
1043110332180_,0.716612378,405.3,3,13,75,61,1238,9,76,4,8,168.077,897,11.2,8.6,4.609732151,10.59916667,12.99111111,13.77
1043110332210_,5.882352941,640.1,4,40,131,48,1379,0,85,5,11,1680.004,897,10.2,14.2,13.44807839,12.26513889,14.36868056,16.82
11044000,0.248587571,1564,5,342,64,156,440,0,38,5,12,181.516,951,7.725,23.725,8.39e-4,12.23638889,13.7,25.64
11126400,0.534209986,1298.4,4,284,147,134,625,0,88,4,0,0.996,951,6.5,19.225,0.112398222,12.09805556,13.66833333,23.04
11128500,7.95090715,1516,4,182,137,136,607,0,81,5,0,9.626,951,5.925,19.6,1.56e-4,11.76944444,13.27277778,22.08
11273400,0.414528227,27801.5,5,21,73,132,452,5,43,29,2,47.428,951,7.3,23.925,14.71203709,11.98111111,13.69722222,26.5
11509370,16.28156905,9889.1,6,1306,44,59,599,11,67,4,0,5.611,928,6.75,19.1125,25.66236496,10.24055556,12.82972222,18.565
1191000,1.063100137,77.1,2,37,25,96,1180,38,42,8,54,637.858,955,7.4,20.275,0.332776487,12.41527778,14.38416667,21.025
1363121256010_,0.68212824,711.5,4,6,156,91,1922,0,70,12,5,106.043,892,9.7,18.1,24.60818291,12.48055556,14.20569444,17.82
14151000,0.07423905,488.2,4,272,156,87,1650,0,99,1,0,1.046,928,10.675,12.8,10.93183422,10.25972222,11.81888889,13.73
