gauge_id,mean_intensity,UPLAND_SKM,ORD_STRA,ele_mt_cav,slp_dg_uav,tmp_dc_uyr,pre_mm_uyr,ari_ix_uav,wet_pc_ug2,for_pc_use,crp_pc_use,ppd_pk_uav,rdd_mk_uav,hdi_ix_cav,DO_P25,WT_p75,Q_p25,daylength_median,daylength_p75,solar_p75
Viz¨¦zy amont Bullieux,1.219553646,126.6,2,360,68,88,781,96,0,32,48,171.496,850,930,6.176875,20.095,0.116079954,12.24736111,13.80298611,20.89
Charpassonne le T¨¦l,0.920578494,54.6,1,629,80,92,821,100,0,12,7,67.597,1121,930,7.21,14.85125,0.010359833,10.43666667,11.58138889,12.73
10129900,0.421433517,73.7,1,2098,82,53,586,58,0,51,2,33.326,590,925,6.8,15.625,0.060846688,12.25055556,14.18013889,24.375
1043110325021_,2.408796296,3357,5,164,104,38,1300,193,1,64,15,104.404,177,897,9.1,15.5,54.816329,12.44041667,14.50868056,16.7625
1043110332180_,2.718181818,405.3,3,13,75,61,1238,178,9,76,4,168.077,270,897,11.2,8.6,4.609732151,10.59916667,12.99111111,13.77
1043110332210_,2.925545267,640.1,4,40,131,48,1379,203,0,85,5,1680.004,1171,897,10.2,14.2,13.44807839,12.26513889,14.36868056,16.82
11044000,0.620684524,1564,5,342,64,156,440,31,0,38,5,181.516,1220,951,7.725,23.725,8.39e-4,12.23638889,13.7,25.64
11126400,0.612386281,1298.4,4,284,147,134,625,53,0,88,4,0.996,132,951,6.5,19.225,0.112398222,12.09805556,13.66833333,23.04
11128500,0.467285637,1516,4,182,137,136,607,51,0,81,5,9.626,186,951,5.925,19.6,1.56e-4,11.76944444,13.27277778,22.08
11273400,0.453906381,27801.5,5,21,73,132,452,40,5,43,29,47.428,396,951,7.3,23.925,14.71203709,11.98111111,13.69722222,26.5
11509370,0.973495073,9889.1,6,1306,44,59,599,61,11,67,4,5.611,105,928,6.75,19.1125,25.66236496,10.24055556,12.82972222,18.565
1191000,0.258485622,77.1,2,37,25,96,1180,117,38,42,8,637.858,4932,955,7.4,20.275,0.332776487,12.41527778,14.38416667,21.025
1363121256010_,2.641587302,711.5,4,6,156,91,1922,229,0,70,12,106.043,332,892,9.7,18.1,24.60818291,12.48055556,14.20569444,17.82
14151000,0.8,488.2,4,272,156,87,1650,170,0,99,1,1.046,10,928,10.675,12.8,10.93183422,10.25972222,11.81888889,13.73
14202650,1.132624443,187.6,3,73,91,96,1772,197,0,67,15,18.116,248,928,5.1,17.38125,0.392317355,11.91305556,14.54972222,17.39
14206950,0.66317577,139.7,3,53,34,111,1090,112,0,23,3,1647.002,9537,928,7.4,18.35,0.159717217,12.13694444,14.47777778,19.66
1475548,0.403912424,57.9,2,28,15,121,1125,108,0,0,0,4041.175,12545,943,7.1,22.15416667,0.055953983,12.44638889,14.20333333,21.7
1484272,0.278782604,129.9,2,6,6,128,1098,102,38,62,54,52.343,997,946,5.175,24.325,0.337308966,12.21986111,14.00256944,21.5925
